rxn_id,old_directionality,new_directionality
rxn00512,forward,reverse
rxn00515,forward,reversible
rxn00517,reversible,reverse
rxn00518,reversible,forward
rxn00519,forward,reversible
rxn00521,reversible,forward
rxn00531,reversible,forward
rxn00532,reversible,reverse
rxn00535,forward,uncertain
rxn00540,reverse,reversible
rxn00542,forward,uncertain
rxn00544,reverse,reversible
rxn00548,reversible,forward
rxn00552,forward,reversible
rxn00553,reversible,forward
rxn00557,reversible,forward
rxn00564,forward,reverse
rxn00567,forward,reversible
rxn00571,reversible,reverse
rxn00572,uncertain,reverse
rxn00580,reversible,forward
rxn00581,reversible,forward
rxn00582,reversible,forward
rxn00583,reversible,forward
rxn00585,reversible,forward
rxn00598,uncertain,forward
rxn00601,reversible,forward
rxn00605,reversible,forward
rxn00609,reverse,forward
rxn00617,reversible,forward
rxn00618,reversible,forward
rxn00619,reversible,forward
rxn00625,uncertain,forward
rxn00631,reversible,reverse
rxn00635,reversible,forward
rxn00641,forward,reversible
rxn00643,reversible,forward
rxn00669,forward,reversible
rxn00672,forward,reversible
rxn00680,reversible,uncertain
rxn00684,uncertain,reverse
rxn00690,forward,reversible
rxn00693,reversible,forward
rxn00700,forward,reversible
rxn00703,forward,uncertain
rxn00707,reversible,forward
rxn00712,reversible,forward
rxn00713,reversible,forward
rxn00715,reversible,forward
rxn00719,reversible,reverse
rxn00720,reversible,reverse
rxn00739,reversible,reverse
rxn00745,reversible,forward
rxn00753,reversible,forward
rxn00755,reversible,forward
rxn00762,reversible,forward
rxn00764,reversible,reverse
rxn00765,reversible,reverse
rxn00769,uncertain,forward
rxn00770,reversible,forward
rxn00771,reversible,forward
rxn00773,forward,uncertain
rxn00776,reversible,reverse
rxn00782,reverse,reversible
rxn00783,forward,reversible
rxn00800,reversible,forward
rxn00801,reversible,forward
rxn00803,reversible,forward
rxn00804,forward,reversible
rxn00813,reversible,forward
rxn00822,reversible,forward
rxn00826,reversible,forward
rxn00837,reverse,uncertain
rxn00840,reversible,reverse
rxn00842,reversible,forward
rxn00850,reversible,forward
rxn00856,reversible,forward
rxn00869,forward,reversible
rxn00872,reverse,reversible
rxn00873,forward,reversible
rxn00876,forward,reverse
rxn00879,reversible,forward
rxn00893,reversible,forward
rxn00896,reversible,forward
rxn00898,reversible,forward
rxn00901,forward,reversible
rxn00908,forward,reversible
rxn00910,reversible,reverse
rxn00912,reversible,forward
rxn00921,forward,reverse
rxn00922,reversible,forward
rxn00927,reversible,forward
rxn00930,forward,reverse
rxn00934,forward,reversible
rxn00935,uncertain,reversible
rxn00945,reversible,reverse
rxn00967,reversible,forward
rxn00970,reversible,uncertain
rxn00971,forward,reversible
rxn00976,reversible,forward
rxn00978,reversible,forward
rxn00986,forward,reversible
rxn00987,forward,reversible
rxn00993,reverse,forward
rxn00996,forward,uncertain
rxn01005,forward,reversible
rxn01006,forward,reversible
rxn01012,reverse,uncertain
rxn01013,reversible,reverse
rxn01016,forward,reversible
rxn01017,reversible,forward
rxn01019,reversible,forward
rxn01020,forward,reversible
rxn01022,reversible,forward
rxn01023,forward,reverse
rxn01027,reversible,reverse
rxn01028,reversible,reverse
rxn01031,reverse,forward
rxn01039,reversible,uncertain
rxn01048,reversible,forward
rxn01058,uncertain,reverse
rxn01074,forward,reversible
rxn01092,reversible,forward
rxn01100,reversible,reverse
rxn01101,reversible,reverse
rxn01105,reversible,reverse
rxn01109,reversible,forward
rxn01128,reversible,forward
rxn01129,reversible,forward
rxn01143,reversible,forward
rxn01144,reversible,forward
rxn01149,reversible,forward
rxn01158,reversible,uncertain
rxn01160,reversible,forward
rxn01172,reversible,forward
rxn01173,reversible,reverse
rxn01177,forward,uncertain
rxn01184,forward,reversible
rxn01186,forward,reversible
rxn01202,forward,reversible
rxn01203,reverse,reversible
rxn01204,reversible,forward
rxn01206,uncertain,reversible
rxn01208,reverse,forward
rxn01209,uncertain,forward
rxn01215,reversible,forward
rxn01216,reversible,forward
rxn01219,reversible,forward
rxn01223,reversible,forward
rxn01226,reversible,forward
rxn01229,reversible,forward
rxn01236,reverse,reversible
rxn01237,reversible,uncertain
rxn01248,reversible,forward
rxn01261,reversible,forward
rxn01263,reversible,forward
rxn01265,reverse,forward
rxn01279,reversible,forward
rxn01280,reversible,reverse
rxn01289,reversible,forward
rxn01296,forward,reversible
rxn01297,reversible,forward
rxn01299,reversible,forward
rxn01305,forward,reversible
rxn01307,reversible,forward
rxn01323,uncertain,reverse
rxn01324,forward,reverse
rxn01337,reversible,forward
rxn01339,reversible,reverse
rxn01348,reversible,forward
rxn01354,forward,reverse
rxn01357,reversible,forward
rxn01359,forward,reversible
rxn01361,forward,reversible
rxn01368,uncertain,forward
rxn01370,reversible,forward
rxn01387,forward,reversible
rxn01399,reversible,forward
rxn01403,forward,reversible
rxn01404,forward,reversible
rxn01405,reversible,forward
rxn01409,forward,reversible
rxn01412,reversible,reverse
rxn01414,reversible,forward
rxn01421,reversible,uncertain
rxn01422,reversible,reverse
rxn01425,forward,reversible
rxn01431,forward,reversible
rxn01442,reversible,forward
rxn01448,reversible,forward
rxn01449,reversible,forward
rxn01452,reverse,reversible
rxn01456,reversible,forward
rxn01461,reversible,forward
rxn01469,uncertain,forward
rxn01480,reversible,forward
rxn01500,reversible,reverse
rxn01509,reversible,forward
rxn01510,reversible,forward
rxn01513,reversible,forward
rxn01515,reversible,forward
rxn01516,reversible,forward
rxn01517,reversible,forward
rxn01525,reversible,forward
rxn01527,reversible,forward
rxn01528,reversible,forward
rxn01541,reversible,forward
rxn01547,reversible,forward
rxn01561,reversible,forward
rxn01568,reversible,forward
rxn01570,forward,reverse
rxn01573,forward,reversible
rxn01578,reversible,forward
rxn01581,reversible,forward
rxn01583,reversible,reverse
rxn01584,forward,reversible
rxn01587,reversible,forward
rxn01589,uncertain,forward
rxn01597,reverse,reversible
rxn01601,reversible,reverse
rxn01602,reverse,forward
rxn01604,forward,reversible
rxn01608,reversible,reverse
rxn01609,reversible,reverse
rxn01610,reversible,forward
rxn01614,reversible,forward
rxn01618,forward,reversible
rxn01619,reversible,forward
rxn01633,uncertain,forward
rxn01635,reverse,forward
rxn01636,reversible,forward
rxn01645,reversible,forward
rxn01652,reversible,uncertain
rxn01655,forward,uncertain
rxn01659,forward,uncertain
rxn01660,reversible,uncertain
rxn01662,reversible,forward
rxn01663,reversible,forward
rxn01664,reversible,reverse
rxn01673,reversible,forward
rxn01674,reversible,forward
rxn01679,reversible,forward
rxn01682,reversible,forward
rxn01691,reverse,uncertain
rxn01703,reversible,forward
rxn01706,reversible,forward
rxn01709,reversible,forward
rxn01710,reverse,reversible
rxn01711,reversible,forward
rxn01713,reversible,forward
rxn01714,reversible,forward
rxn01720,reversible,forward
rxn01722,forward,reverse
rxn01723,reversible,reverse
rxn01728,forward,uncertain
rxn01730,forward,reversible
rxn01732,forward,reversible
rxn01738,reversible,forward
rxn01751,reversible,forward
rxn01752,reversible,forward
rxn01753,reversible,forward
rxn01769,forward,reversible
rxn01782,reversible,reverse
rxn01790,reversible,reverse
rxn01809,reversible,uncertain
rxn01810,reversible,uncertain
rxn01815,forward,reversible
rxn01816,reverse,forward
rxn01818,uncertain,forward
rxn01826,forward,uncertain
rxn01828,reversible,forward
rxn01831,reversible,forward
rxn01835,reversible,uncertain
rxn01846,reversible,uncertain
rxn01865,reversible,forward
rxn01871,reverse,reversible
rxn01872,reverse,reversible
rxn01875,reversible,forward
rxn01880,reversible,forward
rxn01881,reversible,reverse
rxn01887,reversible,reverse
rxn01888,reversible,forward
rxn01893,reversible,forward
rxn01895,reverse,forward
rxn01896,reverse,forward
rxn01900,reversible,reverse
rxn01901,reversible,reverse
rxn01904,reversible,forward
rxn01905,reversible,forward
rxn01909,reverse,reversible
rxn01914,reversible,forward
rxn01917,forward,reversible
rxn01920,reverse,uncertain
rxn01925,reversible,forward
rxn01926,forward,uncertain
rxn01935,forward,reversible
rxn01944,reversible,forward
rxn01952,uncertain,reverse
rxn01953,reversible,forward
rxn01955,reversible,forward
rxn01980,uncertain,reverse
rxn01987,uncertain,forward
rxn01990,reversible,forward
rxn01991,reversible,reverse
rxn01998,reversible,uncertain
rxn01999,reversible,reverse
rxn02006,reversible,forward
rxn02007,reversible,forward
rxn02018,uncertain,reversible
rxn02021,uncertain,reverse
rxn02024,uncertain,forward
rxn02029,reversible,uncertain
rxn02033,reverse,reversible
rxn02035,forward,reversible
rxn02038,reversible,forward
rxn02039,forward,reverse
rxn02040,reversible,uncertain
rxn02043,reversible,forward
rxn02049,reversible,reverse
rxn02052,reversible,forward
rxn02055,forward,reversible
rxn02059,reversible,forward
rxn02069,reversible,reverse
rxn02070,reversible,reverse
rxn02074,reversible,forward
rxn02079,reversible,uncertain
rxn02085,reverse,forward
rxn02088,reversible,forward
rxn02099,reversible,forward
rxn02104,forward,reversible
rxn02117,reversible,forward
rxn02119,reversible,reverse
rxn02122,reversible,forward
rxn02131,forward,uncertain
rxn02132,reversible,reverse
rxn02134,reversible,reverse
rxn02141,reversible,uncertain
rxn02142,reversible,uncertain
rxn02151,reverse,uncertain
rxn02155,forward,reversible
rxn02159,reversible,forward
rxn02170,forward,reversible
rxn02172,reverse,forward
rxn02175,forward,reversible
rxn02178,forward,uncertain
rxn02182,forward,reversible
rxn02185,uncertain,reverse
rxn02186,reversible,forward
rxn02198,reverse,forward
rxn02206,reversible,forward
rxn02207,reversible,forward
rxn02208,forward,reversible
rxn02209,forward,reversible
rxn02210,reversible,forward
rxn02211,forward,reversible
rxn02220,uncertain,forward
rxn02227,forward,reversible
rxn02229,uncertain,forward
rxn02238,reversible,reverse
rxn02245,reversible,forward
rxn02246,reversible,forward
rxn02247,reversible,forward
rxn02248,reversible,forward
rxn02255,reversible,forward
rxn02260,forward,reversible
rxn02261,reversible,uncertain
rxn02266,reversible,forward
rxn02272,reversible,forward
rxn02276,reversible,forward
rxn02278,forward,reverse
rxn02280,reversible,forward
rxn02315,reversible,forward
rxn02317,reversible,forward
rxn02326,forward,reversible
rxn02328,reversible,forward
rxn02333,reversible,forward
rxn02336,reversible,forward
rxn02340,reversible,forward
rxn02351,reversible,uncertain
rxn02354,reversible,forward
rxn02355,reversible,forward
rxn02356,reversible,forward
rxn02358,reversible,forward
rxn02359,reversible,forward
rxn02367,reversible,forward
rxn02369,reversible,forward
rxn02370,reversible,reverse
rxn02378,forward,reversible
rxn02381,reversible,reverse
rxn02382,reversible,forward
rxn02386,reversible,forward
rxn02401,reversible,reverse
rxn02403,reversible,forward
rxn02412,reversible,uncertain
rxn02422,uncertain,forward
rxn02432,reversible,uncertain
rxn02433,reversible,reverse
rxn02439,reversible,reverse
rxn02440,reversible,reverse
rxn02451,reversible,forward
rxn02474,forward,reverse
rxn02479,reversible,reverse
rxn02486,reversible,forward
rxn02488,reversible,forward
rxn02490,forward,reversible
rxn02504,reversible,forward
rxn02506,reversible,forward
rxn02508,reversible,forward
rxn02509,uncertain,reverse
rxn02510,uncertain,reversible
rxn02517,reversible,forward
rxn02519,reversible,forward
rxn02523,reverse,forward
rxn02527,reversible,forward
rxn02530,reversible,forward
rxn02531,reversible,forward
rxn02534,uncertain,reverse
rxn02538,reversible,forward
rxn02543,reversible,forward
rxn02544,reversible,forward
rxn02560,forward,reversible
rxn02568,reversible,forward
rxn02570,uncertain,reverse
rxn02571,reversible,forward
rxn02575,reversible,forward
rxn02585,forward,reversible
rxn02586,reversible,forward
rxn02591,reversible,forward
rxn02598,uncertain,reverse
rxn02604,reversible,reverse
rxn02608,reversible,forward
rxn02609,reversible,forward
rxn02610,reversible,forward
rxn02613,uncertain,forward
rxn02616,reversible,forward
rxn02617,reversible,forward
rxn02620,forward,reversible
rxn02624,reversible,uncertain
rxn02625,forward,reversible
rxn02633,reversible,forward
rxn02634,reversible,forward
rxn02637,reversible,reverse
rxn02639,forward,reverse
rxn02645,reversible,forward
rxn02648,forward,uncertain
rxn02655,forward,reverse
rxn02658,reverse,forward
rxn02668,uncertain,forward
rxn02669,forward,reversible
rxn02671,reversible,reverse
rxn02672,forward,uncertain
rxn02676,reversible,forward
rxn02680,reversible,reverse
rxn02684,reversible,forward
rxn02685,forward,reversible
rxn02687,reversible,forward
rxn02689,reversible,forward
rxn02705,reverse,forward
rxn02709,reversible,reverse
rxn02716,uncertain,reverse
rxn02720,reversible,forward
rxn02723,reversible,forward
rxn02724,forward,reversible
rxn02728,reversible,forward
rxn02729,forward,uncertain
rxn02739,reversible,reverse
rxn02746,forward,uncertain
rxn02763,reversible,reverse
rxn02780,forward,reverse
rxn02782,forward,reverse
rxn02783,forward,reversible
rxn02784,reversible,reverse
rxn02788,reversible,forward
rxn02792,forward,uncertain
rxn02800,forward,reversible
rxn02804,reverse,forward
rxn02812,forward,reversible
rxn02814,reversible,forward
rxn02815,reversible,forward
rxn02818,reversible,forward
rxn02823,forward,reversible
rxn02827,reversible,uncertain
rxn02832,reverse,forward
rxn02837,reversible,forward
rxn02839,forward,reverse
rxn02853,reversible,forward
rxn02858,uncertain,forward
rxn02860,reversible,forward
rxn02862,reversible,forward
rxn02863,reversible,forward
rxn02866,reverse,forward
rxn02867,forward,reversible
rxn02869,reversible,forward
rxn02874,reversible,forward
rxn02877,reversible,forward
rxn02880,reversible,forward
rxn02882,reversible,forward
rxn02896,reversible,forward
rxn02901,reversible,forward
rxn02902,reversible,uncertain
rxn02906,reversible,forward
rxn02907,reversible,uncertain
rxn02914,reversible,reverse
rxn02916,forward,reversible
rxn02917,reversible,uncertain
rxn02922,reverse,forward
rxn02928,reversible,reverse
rxn02930,reversible,forward
rxn02931,reversible,forward
rxn02933,reversible,forward
rxn02935,reversible,forward
rxn02938,forward,reverse
rxn02939,reversible,forward
rxn02940,uncertain,forward
rxn02942,forward,uncertain
rxn02947,reversible,forward
rxn02957,reversible,forward
rxn02960,reverse,uncertain
rxn02962,forward,uncertain
rxn02970,forward,reverse
rxn02971,reversible,forward
rxn02972,reversible,forward
rxn02973,reversible,forward
rxn02978,uncertain,forward
rxn02981,reversible,forward
rxn02982,reversible,forward
rxn02985,reversible,reverse
rxn02990,forward,reverse
rxn03007,reversible,reverse
rxn03011,reversible,forward
rxn03018,forward,reverse
rxn03019,reversible,reverse
rxn03037,reversible,forward
rxn03040,reversible,forward
rxn03042,reversible,forward
rxn03046,forward,reversible
rxn03050,uncertain,reverse
rxn03051,reverse,forward
rxn03052,reversible,forward
rxn03054,uncertain,reversible
rxn03057,reversible,forward
rxn03064,reverse,forward
rxn03066,reversible,reverse
rxn03068,reversible,reverse
rxn03070,reversible,forward
rxn03071,uncertain,forward
rxn03073,reversible,forward
rxn03076,reversible,forward
rxn03096,forward,uncertain
rxn03097,reversible,forward
rxn03101,reversible,forward
rxn03109,reversible,forward
rxn03117,forward,uncertain
rxn03120,reversible,forward
rxn03123,reversible,forward
rxn03133,reversible,reverse
rxn03134,reversible,reverse
rxn03143,reversible,forward
rxn03144,reversible,forward
rxn03149,uncertain,reverse
rxn03153,reversible,forward
rxn03154,reversible,uncertain
rxn03155,reversible,forward
rxn03168,reverse,forward
rxn03175,reversible,forward
rxn03182,reversible,forward
rxn03194,reversible,forward
rxn03198,reversible,uncertain
rxn03199,reversible,uncertain
rxn03203,reversible,forward
rxn03205,forward,reversible
rxn03212,reverse,forward
rxn03213,reversible,reverse
rxn03224,reversible,forward
rxn03233,reversible,forward
rxn03235,uncertain,forward
rxn03258,reversible,forward
rxn03260,reversible,forward
rxn03269,reversible,reverse
rxn03281,reversible,forward
rxn03282,reversible,forward
rxn03287,reversible,forward
rxn03288,reversible,reverse
rxn03290,forward,reverse
rxn03291,reversible,reverse
rxn03294,reversible,reverse
rxn03299,reversible,reverse
rxn03300,reversible,forward
rxn03304,reversible,uncertain
rxn03317,reverse,forward
rxn03329,uncertain,forward
rxn03331,forward,uncertain
rxn03347,reversible,forward
rxn03352,reversible,reverse
rxn03366,reversible,forward
rxn03367,reverse,uncertain
rxn03369,reversible,forward
rxn03373,forward,reversible
rxn03374,reversible,forward
rxn03383,reversible,forward
rxn03391,reversible,forward
rxn03398,reversible,forward
rxn03413,reversible,uncertain
rxn03421,reversible,uncertain
rxn03428,reversible,forward
rxn03429,reversible,forward
rxn03430,reversible,forward
rxn03435,reversible,reverse
rxn03436,reversible,forward
rxn03444,uncertain,forward
rxn03445,reversible,reverse
rxn03448,forward,uncertain
rxn03456,uncertain,reverse
rxn03465,reverse,forward
rxn03470,uncertain,reverse
rxn03477,uncertain,reverse
rxn03479,reversible,forward
rxn03486,reversible,reverse
rxn03492,reversible,forward
rxn03507,forward,uncertain
rxn03510,forward,reversible
rxn03511,reversible,forward
rxn03512,reversible,forward
rxn03519,reversible,reverse
rxn03523,reverse,uncertain
rxn03544,reverse,forward
rxn03547,reversible,forward
rxn03551,reversible,forward
rxn03554,reversible,forward
rxn03556,reversible,forward
rxn03557,reversible,forward
rxn03564,reverse,uncertain
rxn03567,reversible,forward
rxn03568,reversible,forward
rxn03572,uncertain,forward
rxn03581,reversible,forward
rxn03583,reversible,forward
rxn03585,forward,uncertain
rxn03587,reversible,forward
rxn03597,reversible,forward
rxn03601,reversible,forward
rxn03609,reversible,forward
rxn03612,forward,reverse
rxn03618,reversible,forward
rxn03619,reversible,reverse
rxn03621,reversible,forward
rxn03623,reversible,forward
rxn03624,reversible,forward
rxn03628,reversible,forward
rxn03631,uncertain,forward
rxn03636,forward,reverse
rxn03643,reverse,reversible
rxn03644,reversible,forward
rxn03653,forward,uncertain
rxn03655,reversible,forward
rxn03671,uncertain,forward
rxn03677,uncertain,forward
rxn03680,reversible,forward
rxn03681,forward,uncertain
rxn03682,reverse,uncertain
rxn03684,reversible,forward
rxn03685,reversible,forward
rxn03688,reversible,forward
rxn03690,reversible,forward
rxn03693,forward,reverse
rxn03695,reversible,forward
rxn03698,reversible,forward
rxn03699,reversible,forward
rxn03703,reversible,forward
rxn03725,uncertain,forward
rxn03726,forward,uncertain
rxn03753,uncertain,forward
rxn03754,uncertain,forward
rxn03759,forward,uncertain
rxn03760,uncertain,forward
rxn03775,uncertain,forward
rxn03796,reversible,forward
rxn03801,reversible,forward
rxn03802,reversible,uncertain
rxn03809,reverse,forward
rxn03820,reversible,forward
rxn03821,reverse,forward
rxn03826,forward,uncertain
rxn03827,reversible,forward
rxn03832,reversible,forward
rxn03833,reversible,forward
rxn03836,reversible,forward
rxn03861,reverse,reversible
rxn03866,reversible,forward
rxn03867,reversible,forward
rxn03868,reversible,forward
rxn03875,uncertain,forward
rxn03876,reversible,forward
rxn03878,reversible,forward
rxn03882,reversible,forward
rxn03885,reversible,forward
rxn03887,reversible,forward
rxn03889,reversible,uncertain
rxn03890,forward,uncertain
rxn03910,reversible,forward
rxn03914,reversible,forward
rxn03917,reversible,forward
rxn03920,reversible,forward
rxn03924,reversible,forward
rxn03931,uncertain,forward
rxn03938,forward,reversible
rxn03951,reversible,forward
rxn03953,reversible,forward
rxn03958,forward,reverse
rxn03962,reversible,reverse
rxn03972,reversible,reverse
rxn03973,forward,reverse
rxn03975,reverse,reversible
rxn03979,forward,reversible
rxn03980,reversible,uncertain
rxn03983,forward,reverse
rxn04005,reversible,forward
rxn04006,reversible,forward
rxn04007,reversible,forward
rxn04014,reversible,reverse
rxn04015,uncertain,reverse
rxn04017,uncertain,forward
rxn04022,reversible,forward
rxn04023,reversible,reverse
rxn04024,reversible,forward
rxn04027,reversible,uncertain
rxn04042,reversible,forward
rxn04043,reversible,forward
rxn04063,reversible,uncertain
rxn04077,reversible,forward
rxn04078,reversible,forward
rxn04080,reversible,forward
rxn04087,reversible,forward
rxn04090,reversible,forward
rxn04095,reverse,reversible
rxn04100,reversible,uncertain
rxn04104,reversible,forward
rxn04108,reversible,reverse
rxn04109,reversible,forward
rxn04112,reversible,forward
rxn04124,reversible,forward
rxn04143,reversible,forward
rxn04144,reversible,forward
rxn04162,reversible,reverse
rxn04238,reversible,forward
rxn04280,reversible,forward
rxn04284,reversible,forward
rxn04290,reversible,uncertain
rxn04292,forward,reversible
rxn04294,reversible,forward
rxn04348,reversible,forward
rxn04351,reversible,forward
rxn04357,reversible,forward
rxn04359,reversible,forward
rxn04387,uncertain,reverse
rxn04388,reversible,forward
rxn04407,forward,uncertain
rxn04411,uncertain,reversible
rxn04417,forward,reverse
rxn04418,reversible,forward
rxn04424,reversible,forward
rxn04425,forward,reversible
rxn04480,reversible,forward
rxn04482,reversible,forward
rxn04484,forward,uncertain
rxn04485,reverse,forward
rxn04495,uncertain,forward
rxn04497,uncertain,forward
rxn04513,uncertain,forward
rxn04549,reversible,forward
rxn04575,reversible,uncertain
rxn04600,reversible,forward
rxn04604,reversible,forward
rxn04617,reversible,forward
rxn04619,reversible,forward
rxn04623,reversible,forward
rxn04625,reversible,forward
rxn04626,reversible,forward
rxn04635,reversible,forward
rxn04649,reversible,forward
rxn04656,uncertain,forward
rxn04663,reversible,forward
rxn04672,reversible,forward
rxn04677,forward,reversible
rxn04681,reversible,forward
rxn04694,reverse,forward
rxn04702,forward,uncertain
rxn04706,reverse,forward
rxn04713,uncertain,reversible
rxn04717,reversible,forward
rxn04719,reversible,forward
rxn04721,reversible,forward
rxn04722,reversible,forward
rxn04731,reversible,forward
rxn04740,reversible,forward
rxn04742,reversible,forward
rxn04743,reversible,forward
rxn04752,uncertain,forward
rxn04757,reversible,forward
rxn04758,reversible,forward
rxn04759,reversible,forward
rxn04760,reversible,forward
rxn04772,forward,reverse
rxn04774,uncertain,forward
rxn04777,uncertain,forward
rxn04781,reversible,forward
rxn04785,forward,reversible
rxn04787,reversible,forward
rxn04794,reversible,forward
rxn04795,reversible,forward
rxn04810,uncertain,forward
rxn04811,uncertain,forward
rxn04816,uncertain,forward
rxn04822,reversible,forward
rxn04830,reversible,forward
rxn04831,reversible,forward
rxn04834,reversible,forward
rxn04848,reversible,forward
rxn04849,reversible,forward
rxn04850,reversible,forward
rxn04851,uncertain,forward
rxn04865,uncertain,reversible
rxn04868,reversible,forward
rxn04873,reversible,forward
rxn04879,reversible,forward
rxn04887,reverse,forward
rxn04894,uncertain,reversible
rxn04905,uncertain,forward
rxn04908,reversible,forward
rxn04937,reversible,reverse
rxn04939,reversible,forward
rxn04940,forward,reverse
rxn04944,reversible,forward
rxn04948,reversible,forward
rxn04953,reversible,reverse
rxn04954,reversible,reverse
rxn04955,forward,reverse
rxn04960,reversible,reverse
rxn04963,reversible,forward
rxn05009,reversible,forward
rxn05010,reversible,forward
rxn05011,reversible,forward
rxn05012,reversible,forward
rxn05014,reversible,forward
rxn05015,reversible,forward
rxn05022,reversible,forward
rxn05026,reversible,forward
rxn05036,reversible,reverse
rxn05037,reversible,forward
rxn05063,reverse,forward
rxn05064,forward,reversible
rxn05066,reversible,forward
rxn05068,reversible,forward
rxn05069,reversible,forward
rxn05078,reversible,forward
rxn05080,reversible,forward
rxn05081,reversible,forward
rxn05093,forward,uncertain
rxn05102,reversible,forward
rxn05105,reversible,forward
rxn05115,reversible,forward
rxn05117,forward,reversible
rxn05197,forward,reversible
rxn05200,uncertain,reversible
rxn05212,reversible,uncertain
rxn05213,uncertain,reversible
rxn05214,uncertain,reversible
rxn05216,forward,reversible
rxn05221,forward,reversible
rxn05240,forward,reversible
rxn05255,forward,reversible
rxn05266,reversible,forward
rxn05292,uncertain,reversible
rxn05297,uncertain,reversible
rxn05307,uncertain,reversible
rxn05310,reversible,uncertain
rxn05312,uncertain,reversible
rxn05313,reversible,forward
rxn05315,reversible,uncertain
rxn05324,reverse,uncertain
rxn05325,reverse,uncertain
rxn05327,reverse,reversible
rxn05329,reversible,forward
rxn05330,reversible,forward
rxn05331,reversible,forward
rxn05332,reversible,forward
rxn05334,reversible,forward
rxn05335,reversible,forward
rxn05338,reversible,reverse
rxn05341,reversible,reverse
rxn05342,reversible,reverse
rxn05352,reverse,uncertain
rxn05368,reversible,forward
rxn05372,reversible,forward
rxn05376,reversible,forward
rxn05377,reversible,forward
rxn05380,reversible,forward
rxn05381,reversible,forward
rxn05385,reversible,forward
rxn05397,reversible,forward
rxn05402,reversible,forward
rxn05405,reversible,forward
rxn05422,reversible,forward
rxn05452,forward,reversible
rxn05459,reversible,forward
rxn05472,uncertain,reversible
rxn05475,uncertain,forward
rxn05477,uncertain,forward
rxn05480,forward,reversible
rxn05483,reversible,uncertain
rxn05484,uncertain,reversible
rxn05486,forward,reversible
rxn05487,forward,reversible
rxn05495,forward,reversible
rxn05502,uncertain,reversible
rxn05505,uncertain,forward
rxn05506,uncertain,reversible
rxn05507,uncertain,reversible
rxn05514,uncertain,reversible
rxn05517,reversible,uncertain
rxn05521,uncertain,reversible
rxn05523,forward,reversible
rxn05526,reversible,uncertain
rxn05565,uncertain,reversible
rxn05568,reversible,uncertain
rxn05581,reversible,uncertain
rxn05590,uncertain,reversible
rxn05593,reversible,uncertain
rxn05595,uncertain,reversible
rxn05604,reversible,uncertain
rxn05605,reversible,uncertain
rxn05612,uncertain,reversible
rxn05615,reversible,uncertain
rxn05618,forward,reversible
rxn05627,forward,reversible
rxn05629,reversible,uncertain
rxn05630,reversible,uncertain
rxn05643,reversible,uncertain
rxn05645,forward,reversible
rxn05646,forward,reversible
rxn05649,reversible,uncertain
rxn05651,reversible,forward
rxn05661,uncertain,reversible
rxn05665,reversible,uncertain
rxn05671,uncertain,forward
rxn05676,reversible,uncertain
rxn05678,uncertain,reversible
rxn05682,forward,reversible
rxn05687,forward,reversible
rxn05690,forward,reversible
