assembly_accession,current_accession,organism_name,tax_id,assembly_name,status,superkingdom,kingdom,phylum,class,order,family,genus,species
GCF_000789335.1,GCF_000789335.1,Thermotoga sp. 2812B,1157948,ASM78933v1,resolved,Bacteria,Thermotogati,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,Thermotoga sp. 2812B
GCF_000789375.1,GCF_000789375.1,Thermotoga sp. Cell2,1157947,ASM78937v1,resolved,Bacteria,Thermotogati,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,Thermotoga sp. Cell2
GCF_000789395.1,GCF_000789395.1,Clostridium baratii str. Sullivan,1415775,ASM78939v1,resolved,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium baratii
GCF_000800255.1,GCF_000800255.1,Pseudomonas parafulva,157782,ASM80025v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas parafulva
GCF_000800295.1,GCF_000800295.1,Parvimonas micra,33033,ASM80029v1,resolved,Bacteria,Bacillati,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Parvimonas,Parvimonas micra
GCF_000800395.1,GCF_000800395.1,Deinococcus radiopugnans,57497,ASM80039v1,resolved,Bacteria,Thermotogati,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus radiopugnans
GCF_000800455.1,GCF_000800455.1,Bifidobacterium catenulatum subsp. puerorum PV20-2,1447716,ASM80045v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium catenulatum
GCF_000800475.2,GCF_000800475.2,Bifidobacterium pseudolongum PV8-2,1447715,ASM80047v2,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pseudolongum
GCF_000800725.1,GCF_000800725.1,Edwardsiella sp. EA181011,1578828,ASM80072v2,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Hafniaceae,Edwardsiella,Edwardsiella sp. EA181011
GCF_000800785.1,GCF_000800785.1,Mycoplasma mycoides subsp. mycoides,2103,ASM80078v1,resolved,Bacteria,Bacillati,Mycoplasmatota,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma mycoides
GCF_000800805.1,GCF_000800805.1,Candidatus Methanoplasma termitum,1577791,ASM80080v1,resolved,Archaea,Methanobacteriati,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Candidatus Methanoplasma,Candidatus Methanoplasma termitum
GCF_000800825.1,GCF_000800825.1,Bacillus sp. WP8,756828,ASM80082v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Caryophanales,Bacillaceae,Bacillus,Bacillus sp. WP8
GCF_000801145.1,GCF_000801145.1,Actinobacillus equuli subsp. equuli,202947,ASM80114v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus equuli
GCF_000801275.2,GCF_000801275.2,Vibrio nigripulchritudo,28173,ASM80127v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio nigripulchritudo
GCF_000801295.1,GCF_000801295.1,endosymbiont of unidentified scaly snail isolate Monju,1248727,ASM80129v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,,,,endosymbiont of unidentified scaly snail isolate Monju
GCF_000801315.1,GCF_000801315.1,Hymenobacter sp. DG25B,1385664,ASM80131v1,resolved,Bacteria,Pseudomonadati,Bacteroidota,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter sp. DG25B
GCF_000801755.2,GCF_000801755.2,Enterobacter sp. E20,1560339,ASM80175v2,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter sp. E20
GCF_000802205.1,GCF_000802205.1,Candidatus Nitrosocosmicus oleophilus,1353260,ASM80220v2,resolved,Archaea,Thermoproteati,Nitrososphaerota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrosocosmicus,Candidatus Nitrosocosmicus oleophilus
GCF_000802245.2,GCF_000802245.2,Streptomyces pluripotens,1355015,ASM80224v2,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces pluripotens
GCF_000803625.1,GCF_000803625.1,Nanosynbacter lyticus,2093824,ASM80362v1,resolved,Bacteria,Bacillati,Minisyncoccota,Nanosynbacteria,Nanosynbacterales,Nanosynbacteraceae,Nanosynbacter,Nanosynbacter lyticus
GCF_000803645.1,GCF_000803645.1,Sphingopyxis fribergensis,1515612,ASM80364v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingopyxidaceae,Sphingopyxis,Sphingopyxis fribergensis
GCF_000807175.1,GCF_000807175.1,Clostridium pasteurianum DSM 525 = ATCC 6013,1262449,ASM80717v1,resolved,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium pasteurianum
GCF_000807225.1,GCF_000807225.1,Myroides sp. A21,1583100,ASM80722v1,resolved,Bacteria,Pseudomonadati,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Myroides,Myroides sp. A21
GCF_000807255.1,GCF_000807255.1,Clostridium pasteurianum DSM 525 = ATCC 6013,1262449,ASM80725v1,resolved,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium pasteurianum
GCF_000807275.1,GCF_000807275.1,Frischella perrara,1267021,ASM80727v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Orbales,Orbaceae,Frischella,Frischella perrara
GCF_000807295.1,GCF_000807295.1,Borrelia miyamotoi,47466,ASM80729v1,resolved,Bacteria,Pseudomonadati,Spirochaetota,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia,Borrelia miyamotoi
GCF_000807315.1,GCF_000807315.1,Bradyrhizobium japonicum,375,ASM80731v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Bradyrhizobium japonicum
GCF_000807355.1,,,,,missing,,,,,,,,
GCF_000807395.2,GCF_000807395.2,Klebsiella pneumoniae,573,ASM80739v3,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
GCF_000807415.2,GCF_000807415.2,Enterobacter roggenkampii,1812935,ASM80741v4,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter roggenkampii
GCF_000807675.2,GCF_000807675.2,Eubacterium limosum,1736,ASM80767v2,resolved,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Eubacterium limosum
GCF_000807775.2,GCF_000807775.2,Pandoraea fibrosis,1891094,ASM80777v2,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Pandoraea,Pandoraea fibrosis
GCF_000808035.2,GCF_000808035.2,Burkholderia thailandensis,57975,ASM80803v2,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia thailandensis
GCF_000812165.1,GCF_000812165.1,Bordetella pertussis 137,1403053,ASM81216v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella pertussis
GCF_000812185.1,GCF_000812185.1,Candidatus Nitrosopelagicus brevis,1410606,ASM81218v1,resolved,Archaea,Thermoproteati,Nitrososphaerota,,,,Candidatus Nitrosopelagicus,Candidatus Nitrosopelagicus brevis
GCF_000812205.2,GCF_000812205.2,Klebsiella variicola,244366,ASM81220v2,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella variicola
GCF_000812665.2,GCF_000812665.2,Falsihalocynthiibacter arcticus,1579316,ASM81266v2,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Falsihalocynthiibacter,Falsihalocynthiibacter arcticus
GCF_000813245.1,GCF_000813245.1,Thermofilum adornatum 1505,697581,ASM81324v1,resolved,Archaea,Thermoproteati,Thermoproteota,Thermoprotei,Thermofilales,Thermofilaceae,Thermofilum,Thermofilum adornatum
GCF_000814125.3,GCF_000814125.3,Enterobacter hormaechei subsp. steigerwaltii,299766,ASM81412v3,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter hormaechei
GCF_000814165.3,GCF_000814165.3,Acinetobacter nosocomialis,106654,ASM81416v3,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter nosocomialis
GCF_000814205.1,GCF_000814205.1,Enterobacter hormaechei subsp. hormaechei,301105,ASM81420v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter hormaechei
GCF_000814225.1,GCF_000814225.1,Enterobacter hormaechei subsp. xiangfangensis,1296536,ASM81422v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter hormaechei
GCF_000814265.1,GCF_000814265.1,Campylobacter fetus subsp. testudinum,1507806,ASM81426v1,resolved,Bacteria,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter fetus
GCF_000814305.1,GCF_000814305.1,Klebsiella pneumoniae,573,ASM81430v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
GCF_000814825.1,GCF_000814825.1,Berryella intestinalis,1531429,ASM81482v1,resolved,Bacteria,Bacillati,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Berryella,Berryella intestinalis
GCF_000814845.2,GCF_000814845.2,Pandoraea sputorum,93222,ASM81484v2,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Pandoraea,Pandoraea sputorum
GCF_000815025.1,GCF_000815025.1,Coxiella endosymbiont of Amblyomma americanum,325775,ASM81502v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Legionellales,Coxiellaceae,Coxiella,Coxiella endosymbiont of Amblyomma americanum
GCF_000815065.1,GCF_000815065.1,Mesomycoplasma flocculare ATCC 27399,743971,ASM81506v1,resolved,Bacteria,Bacillati,Mycoplasmatota,,Mycoplasmoidales,Metamycoplasmataceae,Mesomycoplasma,Mesomycoplasma flocculare
GCF_000815105.2,GCF_000815105.2,Pandoraea pulmonicola,93221,ASM81510v2,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Pandoraea,Pandoraea pulmonicola
GCF_000815145.1,GCF_000815145.1,Bacillus sp. Pc3,1446792,ASM81514v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Caryophanales,Bacillaceae,Bacillus,Bacillus sp. Pc3
GCF_000815185.1,GCF_000815185.1,Xanthomonas sacchari,56458,ASM81518v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Xanthomonas,Xanthomonas sacchari
GCF_000815225.1,GCF_000815225.1,Allofrancisella guangzhouensis,594679,ASM81522v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Francisellaceae,Allofrancisella,Allofrancisella guangzhouensis
GCF_000816025.1,GCF_000816025.1,Streptomyces sp. 769,1262452,ASM81602v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sp. 769
GCF_000816045.1,GCF_000816045.1,Dickeya zeae EC1,1427366,ASM81604v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Dickeya,Dickeya zeae
GCF_000816065.1,GCF_000816065.1,Trueperella pyogenes TP8,1435056,ASM81606v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Trueperella,Trueperella pyogenes
GCF_000816085.1,GCF_000816085.1,Staphylococcus hyicus,1284,ASM81608v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Caryophanales,Staphylococcaceae,Staphylococcus,Staphylococcus hyicus
GCF_000816105.1,GCF_000816105.1,Thermococcus guaymasensis DSM 11113,1432656,ASM81610v1,resolved,Archaea,Methanobacteriati,Methanobacteriota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus guaymasensis
GCF_000816125.1,GCF_000816125.1,Rhizobium etli bv. phaseoli str. IE4803,1432049,ASM81612v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium etli
GCF_000816145.1,GCF_000816145.1,Pseudothermotoga hypogea DSM 11164 = NBRC 106472,1123384,ASM81614v1,resolved,Bacteria,Thermotogati,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Pseudothermotoga,Pseudothermotoga hypogea
GCF_000816185.1,GCF_000816185.1,Campylobacter insulaenigrae NCTC 12927,1031564,ASM81618v1,resolved,Bacteria,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter insulaenigrae
GCF_000816225.1,GCF_000816225.1,Campylobacter lari subsp. concheus LMG 11760,1031536,ASM81622v1,resolved,Bacteria,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter lari
GCF_000816245.1,GCF_000816245.1,Campylobacter sp. RM16704,1500960,ASM81624v1,resolved,Bacteria,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter sp. RM16704
GCF_000816265.1,GCF_000816265.1,Campylobacter subantarcticus LMG 24374,1388751,ASM81626v1,resolved,Bacteria,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter subantarcticus
GCF_000816305.1,GCF_000816305.1,Campylobacter subantarcticus LMG 24377,1388752,ASM81630v1,resolved,Bacteria,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter subantarcticus
GCF_000816345.1,GCF_000816345.1,Campylobacter volucris LMG 24379,580033,ASM81634v1,resolved,Bacteria,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter volucris
GCF_000816365.1,GCF_000816365.1,Campylobacter lari NCTC 11845,1388749,ASM81636v1,resolved,Bacteria,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter lari
GCF_000816405.1,GCF_000816405.1,Campylobacter lari RM16701,1453989,ASM81640v1,resolved,Bacteria,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter lari
GCF_000816425.1,GCF_000816425.1,Campylobacter lari RM16712,1453988,ASM81642v1,resolved,Bacteria,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter lari
GCF_000816785.1,GCF_000816785.1,Campylobacter peloridis LMG 23910,1388753,ASM81678v1,resolved,Bacteria,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter peloridis
GCF_000816845.1,GCF_000816845.1,Rhizobium gallicum bv. gallicum R602sp,1041138,ASM81684v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium gallicum
GCF_000816885.1,GCF_000816885.1,Xanthomonas citri subsp. citri 306,1203463,ASM81688v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Xanthomonas,Xanthomonas citri
GCF_000817065.1,GCF_000817065.1,Streptococcus mutans UA159-FR,1437447,ASM81706v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans
GCF_000817325.1,GCF_000817325.1,Synechococcus elongatus UTEX 2973,1350461,ASM81732v1,resolved,Bacteria,Bacillati,Cyanobacteriota,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus elongatus
GCF_000817955.1,GCF_000817955.1,Geobacter pickeringii,345632,ASM81795v1,resolved,Bacteria,Pseudomonadati,Thermodesulfobacteriota,Desulfuromonadia,Geobacterales,Geobacteraceae,Geobacter,Geobacter pickeringii
GCF_000817975.1,GCF_000817975.1,Azotobacter chroococcum NCIMB 8003,1328314,ASM81797v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azotobacter,Azotobacter chroococcum
GCF_000817995.1,GCF_000817995.1,Bifidobacterium adolescentis,1680,ASM81799v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium adolescentis
GCF_000818015.1,GCF_000818015.1,Stutzerimonas balearica DSM 6083,1123016,ASM81801v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Stutzerimonas,Stutzerimonas balearica
GCF_000818035.1,GCF_000818035.1,Neisseria elongata subsp. glycolytica ATCC 29315,546263,ASM81803v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria elongata
GCF_000818095.1,GCF_000818095.1,Jeotgalibacillus malaysiensis,1508404,ASM81809v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Caryophanales,Caryophanaceae,Jeotgalibacillus,Jeotgalibacillus malaysiensis
GCF_000819445.1,GCF_000819445.1,Corynebacterium humireducens NBRC 106098 = DSM 45392,1223515,ASM81944v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium humireducens
GCF_000819505.1,GCF_000819505.1,Aeromonas hydrophila J-1,1419584,ASM81950v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas hydrophila
GCF_000819525.2,,,,,missing,,,,,,,,
GCF_000819565.1,GCF_000819565.1,Celeribacter indicus,1208324,ASM81956v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Celeribacter,Celeribacter indicus
GCF_000819665.1,GCF_000819665.1,Paenibacillus polymyxa,1406,ASM81966v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Caryophanales,Paenibacillaceae,Paenibacillus,Paenibacillus polymyxa
GCF_000827005.1,GCF_000827005.1,Streptomyces albus,1888,ASM82700v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces albus
GCF_000827045.1,GCF_000827045.1,Bacillus sp. BH072,1570330,ASM82704v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Caryophanales,Bacillaceae,Bacillus,Bacillus sp. BH072
GCF_000827125.1,GCF_000827125.1,Geoalkalibacter subterraneus,483547,ASM82712v1,resolved,Bacteria,Pseudomonadati,Thermodesulfobacteriota,Desulfuromonadia,Desulfuromonadales,Geoalkalibacteraceae,Geoalkalibacter,Geoalkalibacter subterraneus
GCF_000827835.1,GCF_000827835.1,Haloarcula sp. CBA1115,1592728,ASM82783v1,resolved,Archaea,Methanobacteriati,Methanobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula sp. CBA1115
GCF_000827855.1,GCF_000827855.1,Candidatus Portiera aleyrodidarum MED (Bemisia tabaci),1163752,ASM82785v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Candidatus Johnevansiales,Candidatus Johnevansiaceae,Candidatus Portiera,Candidatus Portiera aleyrodidarum
GCF_000828015.1,GCF_000828015.1,Corynebacterium glutamicum,1718,ASM82801v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium glutamicum
GCF_000828055.2,GCF_000828055.2,Klebsiella variicola,244366,ASM82805v2,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella variicola
GCF_000828475.1,GCF_000828475.1,Methyloceanibacter caenitepidi,1384459,ASM82847v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Methyloceanibacter,Methyloceanibacter caenitepidi
GCF_000828515.1,GCF_000828515.1,Candidatus Ishikawaella capsulata Mpkobe,476281,ASM82851v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus Ishikawella,Candidatus Ishikawella capsulata
GCF_000828535.1,GCF_000828535.1,Methanococcus maripaludis KA1,637914,ASM82853v1,resolved,Archaea,Methanobacteriati,Methanobacteriota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus maripaludis
GCF_000828555.1,GCF_000828555.1,Methanococcus maripaludis OS7,637915,ASM82855v1,resolved,Archaea,Methanobacteriati,Methanobacteriota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus maripaludis
GCF_000828575.1,GCF_000828575.1,Methanothermobacter sp. CaT2,866790,ASM82857v1,resolved,Archaea,Methanobacteriati,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,Methanothermobacter sp. CaT2
GCF_000828615.1,GCF_000828615.1,Thiolapillus brandeum,1076588,ASM82861v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Chromatiales,Sedimenticolaceae,Thiolapillus,Thiolapillus brandeum
GCF_000828635.1,GCF_000828635.1,Sulfuritalea hydrogenivorans sk43H,1223802,ASM82863v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Sterolibacteriaceae,Sulfuritalea,Sulfuritalea hydrogenivorans
GCF_000828655.1,GCF_000828655.1,Pseudothermotoga caldifontis AZM44c09,1408159,ASM82865v1,resolved,Bacteria,Thermotogati,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Pseudothermotoga,Pseudothermotoga caldifontis
GCF_000828675.1,GCF_000828675.1,Thermotoga profunda AZM34c06,1408160,ASM82867v1,resolved,Bacteria,Thermotogati,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,Thermotoga profunda
GCF_000828695.1,GCF_000828695.1,Pseudomonas protegens Cab57,1420599,ASM82869v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas protegens
GCF_000828715.1,GCF_000828715.1,Winogradskyella sp. PG-2,754409,ASM82871v1,resolved,Bacteria,Pseudomonadati,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,Winogradskyella sp. PG-2
GCF_000828735.1,GCF_000828735.1,Ureaplasma parvum serovar 3,38504,ASM82873v1,resolved,Bacteria,Bacillati,Mycoplasmatota,,Mycoplasmoidales,Mycoplasmoidaceae,Ureaplasma,Ureaplasma parvum
GCF_000828775.1,GCF_000828775.1,Serratia marcescens SM39,1334564,ASM82877v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia marcescens
GCF_000828815.1,GCF_000828815.1,Candidatus Tachikawaea gelatinosa,1410383,ASM82881v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus Tachikawaea,Candidatus Tachikawaea gelatinosa
GCF_000828835.1,GCF_000828835.1,Thioploca ingrica,40754,ASM82883v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thioploca,Thioploca ingrica
GCF_000828855.1,GCF_000828855.1,Metamycoplasma canadense,29554,ASM82885v1,resolved,Bacteria,Bacillati,Mycoplasmatota,,Mycoplasmoidales,Metamycoplasmataceae,Metamycoplasma,Metamycoplasma canadense
GCF_000828875.1,GCF_000828875.1,Caballeronia cordobensis,1353886,ASM82887v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia,Caballeronia cordobensis
GCF_000828895.1,GCF_000828895.1,Serpentinimonas raichei,1458425,ASM82889v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Serpentinimonas,Serpentinimonas raichei
GCF_000828915.1,GCF_000828915.1,Serpentinimonas maccroryi,1458426,ASM82891v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Serpentinimonas,Serpentinimonas maccroryi
GCF_000828975.1,GCF_000828975.1,Burkholderiales bacterium GJ-E10,1469502,ASM82897v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,,,Burkholderiales bacterium GJ-E10
GCF_000829035.1,GCF_000829035.1,Lacticaseibacillus paracasei subsp. paracasei,47714,ASM82903v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus paracasei
GCF_000829155.1,GCF_000829155.1,Candidatus Karelsulcia muelleri PSPU,1189303,ASM82915v1,resolved,Bacteria,Pseudomonadati,Bacteroidota,Flavobacteriia,Flavobacteriales,,Candidatus Karelsulcia,Candidatus Karelsulcia muelleri
GCF_000829175.1,GCF_000829175.1,Bordetella bronchiseptica,518,ASM82917v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella bronchiseptica
GCF_000829195.1,GCF_000829195.1,Bacillus sp. OxB-1,98228,ASM82919v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Caryophanales,Bacillaceae,Bacillus,Bacillus sp. OxB-1
GCF_000829215.1,GCF_000829215.1,Vibrio cholerae MS6,1420885,ASM82921v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio cholerae
