rxn_id	Jankowski_2008	Flamholz_2012	Beber_2022	LLM_Opus_4.8
rxn00278	=	=	=	=
rxn00279	>	>	>	>
rxn00280	=	=	=	=
rxn00281	=	=	=	>
rxn00282	=	=	=	=
rxn00283	=	=	=	=
rxn00284	=	<	<	<
rxn00285	=	=	=	=
rxn00286	=	=	=	=
rxn00287	=	>	>	>
rxn00288	=	<	<	>
rxn00289	=	=	=	>
rxn00290	=	=	=	=
rxn00291	=	=	=	>
rxn00292	=	>	>	>
rxn00293	=	=	=	=
rxn00295	=	=	=	=
rxn00296	NA	NA	NA	>
rxn00297	=	=	=	=
rxn00298	=	=	=	>
rxn00299	>	>	>	>
rxn00300	>	>	>	>
rxn00301	>	>	>	>
rxn00302	>	NA	=	>
rxn00303	>	=	=	>
rxn00304	=	=	=	<
rxn00305	=	=	=	=
rxn00306	=	=	=	=
rxn00307	>	=	=	>
rxn00308	=	=	=	>
rxn00309	=	=	=	=
rxn00310	>	>	>	>
rxn00311	>	NA	>	>
rxn00312	>	>	>	>
rxn00313	=	>	>	>
rxn00314	=	=	=	<
rxn00315	=	NA	=	=
rxn00316	=	=	=	>
rxn00317	=	NA	=	=
rxn00318	=	=	=	>
rxn00319	=	>	>	>
rxn00320	=	=	=	=
rxn00321	=	=	=	>
rxn00322	=	>	>	>
rxn00323	=	<	<	>
rxn00324	=	<	<	=
rxn00325	>	>	>	>
rxn00326	=	=	=	=
rxn00327	>	>	>	>
rxn00328	=	=	=	=
rxn00330	=	=	<	<
rxn00331	=	=	=	=
rxn00332	<	=	=	>
rxn00333	>	>	>	>
rxn00334	=	=	=	=
rxn00335	=	=	=	=
rxn00336	=	=	=	>
rxn00337	=	=	=	=
rxn00338	>	>	>	>
rxn00339	=	=	=	>
rxn00340	>	=	=	>
rxn00341	=	>	>	>
rxn00342	>	>	>	>
rxn00343	=	NA	<	>
rxn00344	=	=	=	>
rxn00345	=	>	>	>
rxn00346	>	>	>	>
rxn00347	=	=	=	=
rxn00348	=	=	=	=
rxn00349	NA	NA	NA	?
rxn00350	=	=	=	>
rxn00351	=	=	=	>
rxn00352	>	>	>	>
rxn00353	<	>	NA	?
rxn00354	=	=	=	>
rxn00355	=	=	=	=
rxn00356	=	=	=	>
rxn00357	=	NA	<	>
rxn00358	=	=	=	=
rxn00359	>	>	>	>
rxn00360	=	>	>	>
rxn00361	=	=	=	>
rxn00362	=	>	>	>
rxn00363	=	>	>	>
rxn00364	=	=	=	=
rxn00365	=	=	=	>
rxn00366	>	>	>	>
rxn00367	>	>	>	>
rxn00368	>	=	=	>
rxn00369	>	=	=	>
rxn00370	=	=	=	=
rxn00371	=	=	=	>
rxn00372	=	=	>	>
rxn00373	>	>	>	>
rxn00374	>	>	>	>
rxn00375	=	>	>	>
rxn00376	=	>	>	>
rxn00377	>	=	>	>
rxn00378	NA	NA	NA	>
rxn00379	=	<	<	<
rxn00380	<	<	<	=
rxn00381	>	>	>	>
rxn00382	>	NA	<	>
rxn00383	>	>	>	>
rxn00384	>	NA	<	>
rxn00385	=	NA	>	>
rxn00386	=	NA	>	>
rxn00387	=	NA	>	>
rxn00388	NA	NA	NA	>
rxn00389	NA	NA	NA	>
rxn00390	NA	NA	NA	>
rxn00391	=	>	>	>
rxn00392	=	=	=	>
rxn00393	=	=	=	>
rxn00394	=	>	>	>
rxn00395	>	>	>	>
rxn00396	=	=	=	=
rxn00397	=	=	=	>
rxn00398	NA	NA	NA	>
rxn00399	NA	>	>	>
rxn00400	>	NA	=	>
rxn00401	>	>	>	>
rxn00402	=	=	=	<
rxn00403	=	=	=	<
rxn00404	=	=	=	>
rxn00405	=	=	=	>
rxn00406	=	<	<	=
rxn00407	>	>	>	>
rxn00408	>	>	>	>
rxn00409	=	=	=	=
rxn00410	=	=	=	>
rxn00411	=	=	=	<
rxn00412	=	=	=	>
rxn00413	>	=	=	>
rxn00414	=	=	=	>
rxn00415	=	=	=	>
rxn00416	>	=	=	>
rxn00417	=	=	=	=
rxn00418	=	NA	<	>
rxn00419	=	=	=	?
rxn00420	=	>	>	>
rxn00421	=	=	=	>
rxn00422	=	=	=	=
rxn00423	=	=	=	>
rxn00424	=	=	=	>
rxn00425	=	=	=	=
rxn00426	=	=	=	>
rxn00427	>	>	>	>
rxn00428	NA	NA	>	>
rxn00429	=	>	>	>
rxn00430	=	=	=	>
rxn00431	=	>	NA	>
rxn00432	>	>	>	>
rxn00433	>	>	>	>
rxn00434	>	>	>	>
rxn00435	>	>	>	>
rxn00436	>	=	=	>
rxn00437	=	=	=	>
rxn00438	=	>	>	>
rxn00439	>	>	>	>
rxn00440	=	=	=	>
rxn00441	=	=	=	>
rxn00442	NA	NA	NA	>
rxn00443	NA	NA	NA	>
rxn00444	>	NA	>	>
rxn00445	>	>	>	>
rxn00447	NA	NA	NA	>
rxn00448	>	>	>	>
rxn00449	>	=	=	?
rxn00450	>	>	>	>
rxn00451	=	=	=	>
rxn00452	=	NA	=	>
rxn00453	=	>	>	>
rxn00454	=	=	=	=
rxn00455	=	>	>	>
rxn00456	>	>	>	>
rxn00457	=	=	=	=
rxn00458	=	>	>	>
rxn00459	=	=	=	=
rxn00460	=	=	=	<
rxn00461	=	=	=	>
rxn00462	<	=	<	<
rxn00463	>	>	>	>
rxn00464	=	>	>	>
rxn00465	=	>	>	>
rxn00466	=	NA	=	<
rxn00467	=	=	=	>
rxn00468	>	>	>	>
rxn00469	=	=	=	>
rxn00470	>	>	>	>
rxn00471	=	>	>	>
rxn00472	=	=	=	=
rxn00473	=	=	=	>
rxn00474	=	>	>	>
rxn00475	=	=	=	=
rxn00476	=	=	=	=
rxn00477	>	>	>	>
rxn00478	>	>	>	>
rxn00479	>	>	>	>
rxn00480	>	>	>	>
rxn00481	>	=	=	>
rxn00482	=	NA	=	>
rxn00483	=	>	>	=
rxn00484	=	>	>	>
rxn00485	>	>	>	>
rxn00486	>	NA	<	=
rxn00487	=	=	=	=
rxn00488	>	>	>	>
rxn00489	>	>	>	>
rxn00490	>	>	>	>
rxn00491	=	=	=	=
rxn00492	=	=	=	>
rxn00493	=	=	=	=
rxn00494	=	=	=	=
rxn00495	=	=	=	>
rxn00496	<	<	NA	?
rxn00497	=	>	>	>
rxn00498	>	NA	>	>
rxn00499	=	=	=	=
rxn00500	=	=	=	=
rxn00501	=	=	=	>
rxn00502	=	=	=	>
rxn00503	=	=	>	>
rxn00504	=	=	>	=
rxn00505	=	=	=	>
rxn00506	=	>	>	>
rxn00507	=	>	>	>
rxn00508	=	>	>	>
rxn00509	=	>	>	>
rxn00510	=	=	=	>
rxn00511	=	=	=	<
rxn00512	=	<	<	=
rxn00513	>	>	>	>
rxn00514	>	>	>	>
rxn00515	=	=	=	=
rxn00516	>	NA	>	>
rxn00517	=	=	=	<
rxn00518	>	=	=	>
rxn00519	=	=	=	=
rxn00520	=	=	=	=
rxn00521	=	>	>	>
rxn00522	>	>	>	>
rxn00523	>	NA	>	>
rxn00524	>	>	NA	>
rxn00525	>	=	=	>
rxn00526	>	=	=	>
rxn00527	=	=	=	=
rxn00528	>	>	>	>
rxn00529	=	>	>	>
rxn00530	=	>	>	>
rxn00531	=	>	>	>
rxn00532	=	=	=	<
rxn00533	=	=	=	>
rxn00534	=	=	=	=
rxn00535	>	>	>	?
rxn00536	=	=	=	=
rxn00537	>	>	>	>
rxn00538	=	>	>	>
rxn00539	>	>	>	>
rxn00540	=	=	=	=
rxn00541	=	=	=	=
rxn00542	=	=	=	?
rxn00543	=	=	=	=
rxn00544	=	=	=	=
rxn00545	>	=	=	>
rxn00546	=	=	=	=
rxn00547	>	=	=	>
rxn00548	>	>	>	>
rxn00549	=	=	>	>
rxn00550	=	>	>	>
rxn00551	=	=	=	=
rxn00552	=	=	=	=
rxn00553	=	=	=	>
rxn00554	>	=	=	>
rxn00555	=	=	=	>
rxn00556	>	=	=	>
rxn00557	>	=	=	>
rxn00558	=	=	=	=
rxn00559	=	=	=	=
rxn00560	=	=	=	>
rxn00561	>	>	>	>
rxn00562	=	=	=	>
rxn00563	=	>	>	>
rxn00564	=	NA	>	<
rxn00565	>	>	>	>
rxn00566	=	>	>	>
rxn00567	NA	NA	NA	=
rxn00568	<	<	<	<
rxn00569	<	<	<	<
rxn00570	<	NA	=	<
rxn00571	<	<	<	<
rxn00572	<	<	<	<
rxn00573	NA	NA	=	<
rxn00574	<	<	NA	?
rxn00575	=	>	>	>
rxn00577	=	=	=	=
rxn00578	=	>	>	>
rxn00579	=	=	=	>
rxn00580	=	=	=	>
rxn00581	=	=	=	>
rxn00582	=	>	>	>
rxn00583	=	>	>	>
rxn00584	=	>	>	>
rxn00585	=	>	>	>
rxn00586	>	>	>	>
rxn00587	>	>	>	>
rxn00588	>	>	>	>
rxn00589	>	>	>	>
rxn00590	>	>	NA	>
rxn00591	=	>	>	>
rxn00592	=	>	=	>
rxn00593	=	>	=	>
rxn00594	>	>	>	>
rxn00595	>	>	>	>
rxn00596	=	NA	=	>
rxn00597	NA	NA	NA	>
rxn00598	=	=	=	=
rxn00599	=	=	=	>
rxn00600	=	=	=	>
rxn00601	=	=	=	>
rxn00602	=	=	=	=
rxn00603	=	=	=	=
rxn00604	=	=	=	>
rxn00605	=	=	=	>
rxn00606	=	>	>	>
rxn00607	=	>	>	>
rxn00608	=	>	>	>
rxn00609	=	<	<	>
rxn00610	=	>	>	>
rxn00611	=	=	=	=
rxn00612	=	=	=	=
rxn00613	=	=	=	=
rxn00614	>	>	>	>
rxn00615	>	=	=	>
rxn00616	=	=	=	>
rxn00617	=	=	=	>
rxn00618	=	=	=	>
rxn00619	=	=	=	>
rxn00620	>	>	>	>
rxn00621	=	=	=	>
rxn00622	NA	NA	NA	>
rxn00623	<	<	<	<
rxn00624	NA	NA	>	?
rxn00625	<	NA	=	>
rxn00626	NA	NA	NA	>
rxn00627	>	=	=	>
rxn00629	=	=	=	=
rxn00630	=	=	=	=
rxn00631	=	=	=	=
rxn00632	=	>	>	>
rxn00633	=	=	=	>
rxn00634	=	=	=	=
rxn00635	>	=	=	>
rxn00636	=	=	=	=
rxn00638	=	=	=	>
rxn00639	>	>	>	>
rxn00640	=	=	=	>
rxn00641	=	=	=	=
rxn00642	>	>	>	>
rxn00643	=	=	=	>
rxn00644	<	=	=	=
rxn00645	NA	NA	>	>
rxn00646	=	=	=	>
rxn00647	=	=	=	=
rxn00649	>	>	>	>
rxn00650	=	=	=	>
rxn00651	=	NA	>	?
rxn00652	=	=	=	=
rxn00653	=	<	<	<
rxn00654	=	>	>	>
rxn00655	=	=	=	=
rxn00656	=	=	=	=
rxn00657	=	=	=	=
rxn00658	=	>	>	>
rxn00659	>	=	=	>
rxn00660	=	=	=	>
rxn00661	>	=	=	>
rxn00662	>	>	>	>
rxn00663	=	NA	<	<
rxn00664	>	>	NA	?
rxn00665	NA	NA	NA	>
rxn00666	<	NA	NA	?
rxn00667	NA	<	NA	>
rxn00668	=	>	>	>
rxn00669	=	=	=	=
rxn00670	=	=	=	=
rxn00671	=	=	=	>
rxn00672	=	>	>	=
rxn00673	=	<	<	=
rxn00674	>	=	=	>
rxn00675	=	NA	NA	>
rxn00676	=	=	=	=
rxn00677	=	=	=	=
rxn00678	=	=	=	=
rxn00679	=	<	<	<
rxn00680	=	<	<	?
rxn00681	<	<	NA	?
rxn00682	=	NA	=	=
rxn00684	=	=	=	<
rxn00685	>	=	NA	<
rxn00686	=	=	=	<
rxn00687	>	=	NA	<
rxn00688	=	>	>	>
rxn00689	NA	NA	NA	>
rxn00690	=	=	=	=
rxn00691	=	>	>	>
rxn00692	=	=	=	=
rxn00693	=	=	=	>
rxn00695	=	=	=	>
rxn00696	NA	NA	NA	>
rxn00697	>	>	>	>
rxn00698	=	=	=	=
rxn00699	=	=	=	=
rxn00700	=	=	=	=
rxn00701	=	NA	=	=
rxn00702	=	NA	=	>
rxn00703	=	>	=	=
rxn00704	=	=	=	=
rxn00705	NA	NA	NA	=
rxn00706	>	=	=	>
rxn00707	>	=	=	>
rxn00708	=	=	=	>
rxn00709	=	=	=	>
rxn00710	=	>	>	>
rxn00711	<	=	=	<
rxn00712	>	=	=	>
rxn00713	>	=	=	>
rxn00714	>	>	>	>
rxn00715	>	=	=	>
rxn00716	=	>	>	>
rxn00717	>	>	>	>
rxn00718	>	>	>	>
rxn00719	=	=	=	<
rxn00720	=	=	=	<
rxn00721	>	NA	<	=
rxn00722	>	>	>	>
rxn00723	>	=	=	>
rxn00724	>	>	>	>
rxn00725	>	NA	=	>
rxn00726	>	>	>	>
rxn00727	>	>	>	>
rxn00728	>	>	>	>
rxn00729	=	>	>	>
rxn00730	=	=	=	>
rxn00731	=	>	=	>
rxn00732	>	>	NA	>
rxn00733	NA	NA	NA	?
rxn00734	>	>	>	>
rxn00735	=	=	=	=
rxn00736	<	<	<	<
rxn00737	>	>	>	>
rxn00738	>	=	=	>
rxn00739	=	NA	=	>
rxn00740	>	>	>	>
rxn00741	=	=	=	=
rxn00742	>	=	=	>
rxn00743	=	>	>	>
rxn00744	>	=	=	>
rxn00745	=	>	>	>
rxn00746	=	=	=	=
rxn00747	=	=	=	=
rxn00748	=	>	>	>
rxn00749	>	>	>	>
rxn00750	<	<	NA	?
rxn00751	=	=	=	>
rxn00752	>	>	>	>
rxn00753	=	=	=	>
rxn00754	=	>	>	>
rxn00755	=	NA	NA	>
rxn00756	>	NA	NA	>
rxn00757	NA	NA	NA	>
rxn00758	>	NA	>	>
rxn00759	=	=	NA	>
rxn00760	=	=	NA	?
rxn00761	>	>	NA	>
rxn00762	=	=	=	>
rxn00763	=	<	<	=
rxn00764	=	=	=	<
rxn00765	=	<	<	<
rxn00766	=	>	>	>
rxn00767	=	=	=	>
rxn00768	>	>	>	>
rxn00769	>	>	>	>
rxn00770	>	=	=	>
rxn00771	>	=	=	>
rxn00772	>	=	=	>
rxn00773	=	=	=	=
rxn00774	=	=	=	>
rxn00775	>	>	>	>
rxn00776	=	=	=	<
rxn00777	=	=	=	=
rxn00778	=	=	=	=
rxn00779	=	>	>	>
rxn00780	>	=	=	>
rxn00781	=	=	=	=
rxn00782	=	=	=	=
rxn00783	=	=	=	=
rxn00784	=	=	=	=
rxn00785	=	=	=	=
rxn00786	=	=	=	=
rxn00787	=	=	=	=
rxn00789	<	NA	<	<
rxn00790	<	<	<	<
rxn00791	<	<	<	<
rxn00792	=	NA	<	>
rxn00793	>	NA	=	>
rxn00794	=	>	>	>
rxn00795	=	=	=	>
rxn00796	=	NA	>	>
rxn00797	=	>	>	>
rxn00798	=	=	=	=
rxn00799	=	=	=	=
rxn00800	=	=	=	>
rxn00801	>	>	>	>
rxn00802	=	>	=	=
rxn00803	=	=	=	>
rxn00804	=	=	=	=
rxn00805	=	=	=	>
rxn00806	=	=	=	=
rxn00807	=	=	=	=
rxn00808	>	=	=	>
rxn00809	<	<	NA	?
rxn00810	=	=	=	>
rxn00811	<	<	NA	>
rxn00812	=	=	=	>
rxn00813	=	=	=	=
rxn00814	>	>	>	>
rxn00815	>	NA	>	>
rxn00816	=	<	>	>
rxn00817	=	<	>	>
rxn00818	=	=	=	>
rxn00819	=	>	=	>
rxn00820	NA	NA	NA	=
rxn00821	<	NA	=	>
rxn00822	=	=	=	>
rxn00824	=	=	=	=
rxn00826	=	=	=	=
rxn00827	=	NA	<	>
rxn00828	NA	NA	NA	>
rxn00829	=	>	>	>
rxn00830	=	=	=	=
rxn00831	=	=	=	>
rxn00832	=	<	<	<
rxn00833	=	>	>	>
rxn00834	=	=	=	>
rxn00835	=	=	=	>
rxn00836	=	=	=	<
rxn00837	=	NA	>	?
rxn00838	=	=	=	>
rxn00839	=	=	=	=
rxn00840	=	=	=	<
rxn00841	>	=	=	>
rxn00842	>	=	=	>
rxn00843	>	>	>	>
rxn00844	>	>	>	>
rxn00845	=	=	=	>
rxn00846	>	NA	<	>
rxn00847	>	=	>	>
rxn00848	=	=	=	=
rxn00849	=	=	=	=
rxn00850	=	=	=	>
rxn00851	=	=	=	>
rxn00852	>	>	>	>
rxn00853	=	>	>	>
rxn00854	=	NA	=	>
rxn00855	=	=	=	>
rxn00856	=	=	=	>
rxn00857	=	>	>	>
rxn00858	=	>	>	>
rxn00859	=	=	=	>
rxn00860	=	NA	=	>
rxn00861	=	=	=	>
rxn00862	=	=	=	=
rxn00863	=	=	>	>
rxn00864	>	=	=	>
rxn00865	=	=	=	>
rxn00866	=	>	>	>
rxn00867	=	=	=	>
rxn00868	=	<	<	=
rxn00869	=	=	=	=
rxn00870	=	=	=	=
rxn00871	=	=	=	=
rxn00872	=	<	<	=
rxn00873	>	=	=	>
rxn00874	=	=	=	<
rxn00875	=	=	=	=
rxn00876	=	=	<	<
rxn00877	=	=	=	=
rxn00878	>	=	=	>
rxn00879	=	=	=	>
rxn00880	>	>	>	>
rxn00881	=	>	>	>
rxn00882	=	>	>	>
rxn00883	=	>	>	>
rxn00884	=	NA	=	>
rxn00885	=	NA	=	>
rxn00886	=	NA	=	>
rxn00887	=	NA	=	>
rxn00888	=	=	=	>
rxn00889	>	NA	>	>
rxn00890	=	>	=	>
rxn00891	=	>	>	>
rxn00892	>	=	=	>
rxn00893	=	=	>	>
rxn00894	>	>	>	>
rxn00895	=	=	=	>
rxn00896	=	=	=	>
rxn00897	=	NA	=	=
rxn00898	>	>	>	>
rxn00899	=	=	=	>
rxn00900	=	=	=	>
rxn00901	=	=	=	=
rxn00902	=	=	=	<
rxn00903	=	=	=	=
rxn00904	=	=	=	=
rxn00905	=	=	=	<
rxn00906	=	=	=	=
rxn00907	=	=	=	=
rxn00908	=	=	=	=
rxn00909	=	=	=	>
rxn00910	=	<	<	<
rxn00911	=	=	=	=
rxn00912	=	=	=	>
rxn00913	=	=	=	>
rxn00914	=	=	=	>
rxn00915	=	=	=	<
rxn00916	=	NA	>	>
rxn00917	>	NA	>	>
rxn00918	>	>	>	>
rxn00919	>	>	>	>
rxn00920	>	>	>	>
rxn00921	=	>	=	<
rxn00922	=	NA	=	>
rxn00923	=	>	>	>
rxn00924	<	NA	<	<
rxn00925	>	NA	<	>
rxn00926	>	>	>	>
rxn00927	=	=	=	>
rxn00928	=	=	=	=
rxn00929	=	=	<	<
rxn00930	=	=	=	=
rxn00931	=	=	<	<
rxn00932	>	>	>	>
rxn00933	=	>	>	=
rxn00934	=	=	=	=
rxn00935	=	=	=	=
rxn00936	=	=	=	>
rxn00937	=	NA	>	>
rxn00938	>	=	=	>
rxn00939	=	NA	<	>
rxn00940	=	>	>	>
rxn00941	=	=	=	<
rxn00942	=	>	>	>
rxn00943	=	>	>	>
rxn00944	=	=	=	>
rxn00945	=	<	<	<
rxn00946	=	<	<	>
rxn00947	>	=	=	>
rxn00948	=	=	=	>
rxn00949	>	>	>	>
rxn00950	>	=	=	>
rxn00952	=	>	>	>
rxn00953	=	=	=	>
rxn00955	=	<	<	>
rxn00956	<	=	=	=
rxn00957	=	>	>	>
rxn00958	=	>	>	>
rxn00959	>	>	>	>
rxn00960	>	>	>	>
rxn00961	>	>	>	>
rxn00962	>	>	>	>
rxn00963	>	>	>	>
rxn00964	>	=	=	>
rxn00965	=	>	>	>
rxn00966	<	<	<	>
rxn00967	=	>	>	>
rxn00968	>	NA	>	>
rxn00969	<	<	NA	>
rxn00970	=	<	<	?
rxn00971	=	NA	=	=
rxn00972	=	NA	=	=
rxn00973	=	=	=	=
rxn00974	=	=	=	=
rxn00975	>	=	=	>
rxn00976	>	=	=	>
rxn00977	=	>	=	>
rxn00978	>	=	=	>
rxn00979	=	>	>	>
rxn00980	=	>	>	>
rxn00981	=	>	>	=
rxn00982	NA	NA	NA	>
rxn00983	NA	NA	NA	>
rxn00984	NA	NA	NA	>
rxn00985	=	=	=	=
rxn00986	=	NA	NA	=
rxn00987	=	=	=	=
rxn00988	>	=	=	>
rxn00989	=	>	>	>
rxn00990	=	=	=	=
rxn00991	=	>	>	>
rxn00992	=	=	=	=
rxn00993	<	<	<	>
