model_id,n_metabolites,n_reactions,n_genes,biomass_rxn,n_exchanges_total,n_exchanges_open,status,growth_flux,grows,error
GCF_000007625.1,131,126,104,DM_atp_c0,26,19,optimal,3.9999999999999973,True,
GCF_000007645.1,149,173,152,DM_atp_c0,27,20,optimal,14.471153846153827,True,
GCF_000007665.1,141,141,106,DM_atp_c0,23,16,optimal,6.000000000000004,True,
GCF_000007685.1,131,122,131,DM_atp_c0,23,16,optimal,3.0000000000000058,True,
GCF_000006825.1,150,161,137,DM_atp_c0,31,20,optimal,11.499999999999993,True,
GCF_000006845.1,137,139,120,DM_atp_c0,23,16,optimal,6.25,True,
GCF_000006865.1,133,136,114,DM_atp_c0,25,18,optimal,7.99999999999999,True,
GCF_000006885.1,114,106,99,DM_atp_c0,23,16,optimal,3.9999999999999973,True,
GCF_000007065.1,118,106,130,DM_atp_c0,21,14,optimal,1.4444444444444442,True,
GCF_000007085.1,129,122,110,DM_atp_c0,23,16,optimal,0.9999999999999996,True,
GCF_000007105.1,130,123,94,DM_atp_c0,23,16,optimal,3.4999999999999987,True,
GCF_000007125.1,158,180,168,DM_atp_c0,24,17,optimal,8.041666666666664,True,
GCF_000007545.1,173,204,258,DM_atp_c0,32,21,optimal,17.124999999999993,True,
GCF_000007565.2,165,194,235,DM_atp_c0,28,21,optimal,10.125000000000004,True,
GCF_000007585.1,126,110,74,DM_atp_c0,24,17,optimal,0.0,False,
GCF_000007605.1,113,100,49,DM_atp_c0,24,17,optimal,0.0,False,
GCF_000007765.2,140,127,97,DM_atp_c0,22,15,optimal,4.149999999999999,True,
GCF_000007785.1,134,132,130,DM_atp_c0,25,18,optimal,7.999999999999993,True,
GCF_000007805.1,166,187,201,DM_atp_c0,28,21,optimal,14.693181818181825,True,
GCF_000007825.1,162,187,203,DM_atp_c0,28,21,optimal,9.817307692307692,True,
GCF_000007705.1,171,184,203,DM_atp_c0,28,21,optimal,9.93750000000001,True,
GCF_000007725.1,101,88,70,DM_atp_c0,21,14,optimal,5.749999999999998,True,
GCF_000007745.1,155,165,144,DM_atp_c0,30,21,optimal,11.666666666666666,True,
GCF_000007765.1,140,129,100,DM_atp_c0,22,15,optimal,4.150000000000001,True,
GCF_000006745.1,167,187,191,DM_atp_c0,29,20,optimal,10.499999999999998,True,
GCF_000006765.1,168,204,260,DM_atp_c0,28,21,optimal,14.437499999999988,True,
GCF_000006785.2,118,113,92,DM_atp_c0,24,17,optimal,4.0000000000000036,True,
GCF_000006805.1,136,136,121,DM_atp_c0,26,15,optimal,0.0,False,
GCF_000007385.1,148,148,144,DM_atp_c0,23,16,optimal,5.1428571428571415,True,
GCF_000007405.1,175,205,248,DM_atp_c0,31,20,optimal,16.124999999999993,True,
GCF_000007425.1,118,112,91,DM_atp_c0,24,17,optimal,4.0000000000000036,True,
GCF_000007445.1,180,211,294,DM_atp_c0,32,21,optimal,17.124999999999993,True,
GCF_000005825.2,155,176,179,DM_atp_c0,28,21,optimal,10.874999999999998,True,
GCF_000005845.2,179,213,275,DM_atp_c0,32,21,optimal,17.124999999999996,True,
GCF_000006175.1,105,88,98,DM_atp_c0,21,14,optimal,0.0,False,
GCF_000006605.1,143,137,114,DM_atp_c0,22,15,optimal,0.8125000000000002,True,
GCF_000008205.1,93,80,57,DM_atp_c0,21,14,optimal,0.0,False,
GCF_000008225.1,93,80,59,DM_atp_c0,21,14,optimal,0.0,False,
GCF_000008245.1,90,79,45,DM_atp_c0,20,13,optimal,0.0,False,
GCF_000008265.1,124,109,90,DM_atp_c0,21,14,optimal,0.0,False,
GCF_000006905.1,157,163,175,DM_atp_c0,25,18,optimal,7.624999999999998,True,
GCF_000006925.2,175,201,245,DM_atp_c0,31,20,optimal,16.125,True,
GCF_000006945.2,177,209,284,DM_atp_c0,32,21,optimal,17.12499999999999,True,
GCF_000006965.1,163,193,271,DM_atp_c0,25,18,optimal,7.375000000000003,True,
GCF_000008025.1,107,97,74,DM_atp_c0,20,13,optimal,3.800000000000002,True,
GCF_000008045.1,113,93,66,DM_atp_c0,19,12,optimal,4.531250000000001,True,
GCF_000008065.1,111,107,73,DM_atp_c0,23,16,optimal,4.0,True,
GCF_000008105.1,175,204,271,DM_atp_c0,32,21,optimal,17.124999999999996,True,
GCF_000008365.1,95,83,49,DM_atp_c0,21,14,optimal,0.0,False,
GCF_000008385.1,103,94,73,DM_atp_c0,19,12,optimal,0.0,False,
GCF_000008405.1,93,80,60,DM_atp_c0,21,14,optimal,0.0,False,
GCF_000008425.1,164,188,187,DM_atp_c0,28,21,optimal,13.999999999999956,True,
GCF_000007925.1,118,111,85,DM_atp_c0,23,16,optimal,0.0,False,
GCF_000007945.1,136,144,99,DM_atp_c0,28,19,optimal,8.499999999999995,True,
GCF_000007985.2,140,144,152,DM_atp_c0,25,18,optimal,6.326923076923077,True,
GCF_000008005.1,160,182,204,DM_atp_c0,27,20,optimal,9.000000000000004,True,
GCF_000008685.2,96,87,39,DM_atp_c0,22,15,optimal,0.0,False,
GCF_000008725.1,109,95,48,DM_atp_c0,24,17,optimal,0.0,False,
GCF_000008745.1,112,99,48,DM_atp_c0,24,17,optimal,0.0,False,
GCF_000008765.1,140,137,127,DM_atp_c0,24,17,optimal,4.999999999999999,True,
GCF_000008285.1,136,141,160,DM_atp_c0,25,18,optimal,7.9999999999999964,True,
GCF_000008305.1,92,82,46,DM_atp_c0,21,14,optimal,0.0,False,
GCF_000008325.1,150,154,179,DM_atp_c0,24,17,optimal,5.3750000000000115,True,
GCF_000008345.1,137,150,165,DM_atp_c0,28,19,optimal,7.951388888888887,True,
GCF_000008605.1,94,85,32,DM_atp_c0,23,16,optimal,0.0,False,
GCF_000008625.1,122,119,116,DM_atp_c0,24,17,optimal,3.3749999999999996,True,
GCF_000008645.1,111,90,97,DM_atp_c0,21,14,optimal,0.0,False,
GCF_000008665.1,144,129,158,DM_atp_c0,24,17,optimal,1.0000000000000002,True,
GCF_000008125.1,137,140,120,DM_atp_c0,22,15,optimal,0.5000000000000013,True,
GCF_000008145.1,158,182,178,DM_atp_c0,25,18,optimal,8.041666666666666,True,
GCF_000008165.1,167,194,218,DM_atp_c0,29,22,optimal,16.12499999999995,True,
GCF_000008185.1,119,106,77,DM_atp_c0,24,17,optimal,0.0,False,
GCF_000007845.1,166,192,216,DM_atp_c0,28,21,optimal,16.124999999999964,True,
GCF_000007865.1,147,171,232,DM_atp_c0,23,16,optimal,6.806818181818173,True,
GCF_000007885.1,169,191,204,DM_atp_c0,28,19,optimal,14.874999999999998,True,
GCF_000007905.1,125,126,101,DM_atp_c0,25,18,optimal,3.6249999999999973,True,
GCF_000008885.1,109,99,56,DM_atp_c0,20,13,optimal,2.000000000000001,True,
GCF_000008925.1,124,125,100,DM_atp_c0,24,17,optimal,8.0,True,
GCF_000008945.1,119,115,85,DM_atp_c0,23,16,optimal,3.4999999999999987,True,
GCF_000008985.1,133,134,119,DM_atp_c0,23,16,optimal,5.416666666666668,True,
GCF_000008525.1,124,117,94,DM_atp_c0,27,20,optimal,2.4999999999999964,True,
GCF_000008545.1,121,111,114,DM_atp_c0,22,15,optimal,0.0,False,
GCF_000008565.1,147,147,127,DM_atp_c0,24,17,optimal,0.9999999999999996,True,
GCF_000008585.1,154,173,205,DM_atp_c0,25,18,optimal,7.375000000000001,True,
GCF_000009005.1,148,172,153,DM_atp_c0,26,19,optimal,12.249999999999995,True,
GCF_000009025.1,100,89,84,DM_atp_c0,21,14,optimal,1.0,True,
GCF_000009045.1,163,185,178,DM_atp_c0,29,22,optimal,10.500000000000005,True,
GCF_000009065.1,169,190,203,DM_atp_c0,28,19,optimal,12.875,True,
GCF_000008445.1,166,192,216,DM_atp_c0,28,21,optimal,16.124999999999964,True,
GCF_000008465.1,147,146,125,DM_atp_c0,25,18,optimal,4.833333333333335,True,
GCF_000008485.1,147,150,132,DM_atp_c0,24,17,optimal,7.1875,True,
GCF_000008505.1,163,191,217,DM_atp_c0,29,22,optimal,16.125000000000036,True,
GCF_000008785.1,128,120,97,DM_atp_c0,27,20,optimal,2.5000000000000058,True,
GCF_000008805.1,139,140,128,DM_atp_c0,23,16,optimal,6.250000000000007,True,
GCF_000008865.1,178,210,271,DM_atp_c0,32,21,optimal,17.124999999999996,True,
GCF_000008865.2,178,210,271,DM_atp_c0,32,21,optimal,17.124999999999996,True,
GCF_000009185.1,137,134,102,DM_atp_c0,25,18,optimal,0.0,False,
GCF_000009205.2,138,133,162,DM_atp_c0,24,15,optimal,3.000000000000001,True,
GCF_000009245.1,131,133,118,DM_atp_c0,23,16,optimal,5.416666666666668,True,
GCF_000009265.1,166,190,268,DM_atp_c0,26,19,optimal,9.038461538461542,True,
GCF_000009105.1,139,141,124,DM_atp_c0,23,16,optimal,6.250000000000007,True,
GCF_000009125.1,166,185,221,DM_atp_c0,25,18,optimal,8.028846153846152,True,
GCF_000009145.1,137,143,119,DM_atp_c0,22,15,optimal,3.0000000000000013,True,
GCF_000009165.1,157,174,172,DM_atp_c0,27,20,optimal,9.086538461538462,True,
GCF_000009285.1,169,199,380,DM_atp_c0,27,20,optimal,11.125000000000004,True,
GCF_000009305.1,122,115,94,DM_atp_c0,25,18,optimal,2.500000000000003,True,
GCF_000009325.1,133,134,118,DM_atp_c0,23,16,optimal,5.416666666666668,True,
GCF_000009345.1,173,199,223,DM_atp_c0,29,20,optimal,14.875000000000002,True,
GCF_000009365.1,152,157,154,DM_atp_c0,26,19,optimal,4.250000000000002,True,
GCF_000009385.1,118,111,91,DM_atp_c0,24,17,optimal,4.0000000000000036,True,
GCF_000009405.1,153,179,151,DM_atp_c0,27,20,optimal,14.471153846153829,True,
GCF_000009425.1,135,128,113,DM_atp_c0,25,18,optimal,7.9999999999999964,True,
GCF_000009925.1,139,139,135,DM_atp_c0,26,19,optimal,5.624999999999997,True,
GCF_000009945.1,113,100,49,DM_atp_c0,24,17,optimal,0.0,False,
GCF_000009965.1,101,92,86,DM_atp_c0,21,14,optimal,1.0,True,
GCF_000009985.1,162,170,222,DM_atp_c0,29,20,optimal,15.468750000000005,True,
GCF_000009605.1,109,94,77,DM_atp_c0,22,15,optimal,5.749999999999998,True,
GCF_000009625.1,167,190,244,DM_atp_c0,26,19,optimal,9.03846153846153,True,
GCF_000009645.1,148,173,156,DM_atp_c0,26,19,optimal,12.249999999999995,True,
GCF_000009665.1,148,173,153,DM_atp_c0,26,19,optimal,12.249999999999995,True,
GCF_000009845.1,82,66,22,DM_atp_c0,19,12,optimal,0.0,False,
GCF_000009865.1,147,170,139,DM_atp_c0,26,19,optimal,10.500000000000002,True,
GCF_000009885.1,176,211,293,DM_atp_c0,31,22,optimal,17.12499999999999,True,
GCF_000009905.1,156,160,202,DM_atp_c0,29,20,optimal,7.625000000000003,True,
GCF_000009685.1,128,130,108,DM_atp_c0,26,19,optimal,7.749999999999997,True,
GCF_000009705.1,146,145,166,DM_atp_c0,25,18,optimal,3.0000000000000004,True,
GCF_000009725.1,144,151,142,DM_atp_c0,26,19,optimal,8.363636363636358,True,
GCF_000009745.1,172,197,224,DM_atp_c0,30,21,optimal,15.000000000000009,True,
GCF_000010005.1,134,132,106,DM_atp_c0,26,19,optimal,6.000000000000001,True,
GCF_000010025.1,150,153,151,DM_atp_c0,23,16,optimal,6.020833333333333,True,
GCF_000010045.1,160,170,312,DM_atp_c0,30,19,optimal,5.374999999999999,True,
GCF_000010065.1,137,131,117,DM_atp_c0,24,17,optimal,2.250000000000002,True,
GCF_000009445.1,154,173,203,DM_atp_c0,25,18,optimal,7.375000000000001,True,
GCF_000009465.1,138,139,123,DM_atp_c0,23,16,optimal,6.250000000000002,True,
GCF_000009485.1,171,199,261,DM_atp_c0,28,21,optimal,12.875000000000005,True,
GCF_000009505.1,175,207,279,DM_atp_c0,32,21,optimal,17.12499999999999,True,
GCF_000009525.1,174,205,273,DM_atp_c0,31,20,optimal,17.12499999999999,True,
GCF_000009545.1,132,128,117,DM_atp_c0,24,17,optimal,8.000000000000002,True,
GCF_000009565.1,180,212,274,DM_atp_c0,32,21,optimal,17.125,True,
GCF_000009585.1,148,175,153,DM_atp_c0,26,19,optimal,12.249999999999995,True,
GCF_000010085.1,144,151,132,DM_atp_c0,23,16,optimal,8.749999999999998,True,
GCF_000010105.1,165,188,310,DM_atp_c0,28,21,optimal,14.693181818181822,True,
GCF_000010125.1,150,167,153,DM_atp_c0,27,20,optimal,6.249999999999992,True,
GCF_000010145.1,125,128,100,DM_atp_c0,26,19,optimal,7.499999999999998,True,
GCF_000009765.2,163,188,275,DM_atp_c0,27,20,optimal,14.437499999999968,True,
GCF_000009785.1,157,181,184,DM_atp_c0,27,20,optimal,13.12499999999999,True,
GCF_000009805.1,157,175,242,DM_atp_c0,26,19,optimal,13.352272727272776,True,
GCF_000009825.1,161,180,204,DM_atp_c0,29,22,optimal,10.499999999999996,True,
GCF_000010165.1,162,180,201,DM_atp_c0,28,21,optimal,8.749999999999982,True,
GCF_000010185.1,111,98,79,DM_atp_c0,23,16,optimal,1.0,True,
GCF_000010205.1,93,74,52,DM_atp_c0,19,12,optimal,0.0,False,
GCF_000010225.1,146,160,139,DM_atp_c0,26,19,optimal,7.749999999999996,True,
GCF_000010265.1,134,130,139,DM_atp_c0,22,15,optimal,3.0,True,
GCF_000010285.1,150,155,138,DM_atp_c0,26,19,optimal,3.0000000000000018,True,
GCF_000010305.1,147,143,166,DM_atp_c0,25,18,optimal,6.3750000000000036,True,
GCF_000010325.1,120,126,128,DM_atp_c0,24,17,optimal,7.3750000000000036,True,
GCF_000010345.1,129,132,163,DM_atp_c0,26,19,optimal,10.395833333333334,True,
GCF_000010365.1,72,50,15,DM_atp_c0,18,11,optimal,0.0,False,
GCF_000010385.1,180,214,276,DM_atp_c0,32,21,optimal,17.124999999999996,True,
GCF_000010405.1,121,104,94,DM_atp_c0,23,16,optimal,0.0,False,
GCF_000010505.1,126,110,75,DM_atp_c0,24,17,optimal,0.0,False,
GCF_000010525.1,166,193,222,DM_atp_c0,27,20,optimal,10.124999999999998,True,
GCF_000010545.1,170,194,264,DM_atp_c0,27,20,optimal,12.500000000000004,True,
GCF_000010585.1,149,167,124,DM_atp_c0,27,20,optimal,12.624999999999984,True,
GCF_000011005.1,131,108,135,DM_atp_c0,22,15,optimal,1.0000000000000002,True,
GCF_000011025.1,130,139,99,DM_atp_c0,26,19,optimal,10.499999999999995,True,
GCF_000011045.1,128,134,147,DM_atp_c0,23,16,optimal,7.999999999999998,True,
GCF_000011065.1,133,132,141,DM_atp_c0,24,17,optimal,5.624999999999999,True,
GCF_000010425.1,111,106,79,DM_atp_c0,23,16,optimal,3.5,True,
GCF_000010445.1,148,173,153,DM_atp_c0,26,19,optimal,12.249999999999995,True,
GCF_000010465.1,148,173,152,DM_atp_c0,26,19,optimal,12.249999999999995,True,
GCF_000010485.1,179,211,297,DM_atp_c0,31,20,optimal,15.874999999999993,True,
GCF_000010605.1,158,179,253,DM_atp_c0,27,20,optimal,14.352272727272714,True,
GCF_000010625.1,140,144,148,DM_atp_c0,25,18,optimal,3.250000000000001,True,
GCF_000010645.1,99,88,68,DM_atp_c0,21,14,optimal,0.0,False,
GCF_000010665.1,147,151,205,DM_atp_c0,28,21,optimal,13.893518518518512,True,
GCF_000011165.1,112,98,47,DM_atp_c0,24,17,optimal,0.0,False,
GCF_000011185.1,127,109,88,DM_atp_c0,19,12,optimal,0.0,False,
GCF_000011205.1,132,121,116,DM_atp_c0,21,14,optimal,0.0,False,
GCF_000011225.1,102,98,71,DM_atp_c0,22,15,optimal,2.9999999999999987,True,
GCF_000011085.1,145,152,184,DM_atp_c0,29,18,optimal,0.0,False,
GCF_000011105.1,88,82,68,DM_atp_c0,20,13,optimal,0.9999999999999999,True,
GCF_000011125.1,132,117,85,DM_atp_c0,23,16,optimal,0.0,False,
GCF_000011145.1,161,185,188,DM_atp_c0,29,22,optimal,10.499999999999995,True,
GCF_000011445.1,96,89,58,DM_atp_c0,22,15,optimal,0.0,False,
GCF_000011465.1,117,104,79,DM_atp_c0,22,15,optimal,0.0,False,
GCF_000011485.1,120,108,89,DM_atp_c0,23,16,optimal,0.0,False,
GCF_000011505.1,148,175,154,DM_atp_c0,26,19,optimal,12.249999999999995,True,
GCF_000011245.1,157,175,178,DM_atp_c0,26,19,optimal,6.250000000000006,True,
GCF_000011265.1,148,173,154,DM_atp_c0,26,19,optimal,12.249999999999995,True,
GCF_000011285.1,118,112,92,DM_atp_c0,24,17,optimal,4.0000000000000036,True,
GCF_000011305.1,153,161,149,DM_atp_c0,26,19,optimal,7.750000000000001,True,
GCF_000010925.1,152,169,156,DM_atp_c0,28,21,optimal,9.589285714285719,True,
GCF_000010945.1,151,168,153,DM_atp_c0,28,21,optimal,9.589285714285719,True,
GCF_000010965.1,152,169,156,DM_atp_c0,28,21,optimal,9.589285714285719,True,
GCF_000010985.1,140,152,143,DM_atp_c0,25,18,optimal,7.374999999999997,True,
GCF_000010765.1,177,210,273,DM_atp_c0,32,21,optimal,17.124999999999996,True,
GCF_000010785.1,122,122,132,DM_atp_c0,24,17,optimal,1.4531250000000004,True,
GCF_000010805.1,170,196,430,DM_atp_c0,27,20,optimal,13.3522727272728,True,
GCF_000010825.1,152,169,156,DM_atp_c0,28,21,optimal,9.589285714285719,True,
GCF_000010685.1,154,172,205,DM_atp_c0,25,18,optimal,7.375,True,
GCF_000010705.1,131,128,109,DM_atp_c0,24,17,optimal,8.000000000000002,True,
GCF_000010725.1,175,198,282,DM_atp_c0,26,19,optimal,13.937499999999998,True,
GCF_000010745.1,180,213,277,DM_atp_c0,32,21,optimal,17.124999999999996,True,
GCF_000010845.1,152,169,156,DM_atp_c0,28,21,optimal,9.589285714285719,True,
GCF_000010865.1,152,169,156,DM_atp_c0,28,21,optimal,9.589285714285719,True,
GCF_000010885.1,152,169,156,DM_atp_c0,28,21,optimal,9.589285714285719,True,
GCF_000010905.1,152,169,156,DM_atp_c0,28,21,optimal,9.589285714285719,True,
GCF_000011705.1,169,193,216,DM_atp_c0,28,21,optimal,12.875000000000004,True,
GCF_000011725.1,127,119,96,DM_atp_c0,27,20,optimal,2.4999999999999964,True,
GCF_000011745.1,108,98,74,DM_atp_c0,20,13,optimal,5.750000000000002,True,
GCF_000011785.1,145,145,112,DM_atp_c0,27,18,optimal,8.874999999999998,True,
GCF_000011325.1,141,155,132,DM_atp_c0,26,19,optimal,7.749999999999997,True,
GCF_000011345.1,136,133,114,DM_atp_c0,24,17,optimal,6.300000000000003,True,
GCF_000011365.1,170,209,298,DM_atp_c0,27,20,optimal,13.437499999999993,True,
GCF_000011385.1,148,147,144,DM_atp_c0,23,16,optimal,5.791666666666668,True,
GCF_000011525.1,148,173,155,DM_atp_c0,26,19,optimal,12.249999999999995,True,
GCF_000011545.1,169,194,245,DM_atp_c0,28,21,optimal,12.875000000000007,True,
GCF_000011585.1,111,94,113,DM_atp_c0,22,15,optimal,0.0,False,
GCF_000011605.1,176,205,244,DM_atp_c0,28,21,optimal,17.124999999999993,True,
GCF_000011625.1,168,196,228,DM_atp_c0,29,22,optimal,16.125,True,
GCF_000011645.1,164,188,186,DM_atp_c0,28,21,optimal,13.999999999999956,True,
GCF_000011665.1,118,110,90,DM_atp_c0,24,17,optimal,1.0000000000000004,True,
GCF_000011685.1,134,142,111,DM_atp_c0,26,19,optimal,5.749999999999998,True,
GCF_000011805.1,168,190,187,DM_atp_c0,31,20,optimal,13.999999999999993,True,
GCF_000011825.1,115,105,77,DM_atp_c0,22,15,optimal,2.999999999999999,True,
GCF_000011845.1,114,105,78,DM_atp_c0,22,15,optimal,2.999999999999999,True,
GCF_000011865.1,126,128,108,DM_atp_c0,26,19,optimal,4.999999999999998,True,
GCF_000012045.1,148,173,151,DM_atp_c0,26,19,optimal,12.249999999999995,True,
GCF_000012085.2,96,87,41,DM_atp_c0,22,15,optimal,0.0,False,
GCF_000012105.1,154,169,164,DM_atp_c0,26,19,optimal,9.08653846153846,True,
GCF_000012125.1,112,99,50,DM_atp_c0,24,17,optimal,0.0,False,
GCF_000012145.1,116,97,70,DM_atp_c0,20,13,optimal,4.531250000000001,True,
GCF_000012165.2,118,113,91,DM_atp_c0,24,17,optimal,4.0000000000000036,True,
GCF_000012185.1,144,156,122,DM_atp_c0,29,20,optimal,9.750000000000004,True,
GCF_000012205.1,162,180,189,DM_atp_c0,27,20,optimal,9.086538461538458,True,
GCF_000011965.2,156,171,224,DM_atp_c0,27,18,optimal,6.187499999999999,True,
GCF_000011985.1,106,104,80,DM_atp_c0,23,16,optimal,1.0,True,
GCF_000012005.1,171,196,218,DM_atp_c0,30,21,optimal,17.12499999999999,True,
GCF_000012025.1,174,203,239,DM_atp_c0,32,21,optimal,17.124999999999996,True,
GCF_000012545.1,112,85,78,DM_atp_c0,21,14,optimal,0.0,False,
GCF_000012565.1,117,99,73,DM_atp_c0,19,12,optimal,0.0,False,
GCF_000012585.1,130,120,114,DM_atp_c0,23,16,optimal,7.294642857142865,True,
GCF_000012605.1,131,135,119,DM_atp_c0,24,17,optimal,5.500000000000001,True,
GCF_000011885.1,173,204,264,DM_atp_c0,32,21,optimal,17.124999999999993,True,
GCF_000011905.1,100,88,87,DM_atp_c0,21,14,optimal,0.0,False,
GCF_000011925.1,149,175,148,DM_atp_c0,27,20,optimal,14.471153846153854,True,
GCF_000011945.1,113,95,70,DM_atp_c0,19,12,optimal,0.0,False,
GCF_000012465.1,113,102,82,DM_atp_c0,22,15,optimal,0.0,False,
GCF_000012485.1,139,135,139,DM_atp_c0,23,16,optimal,7.416666666666675,True,
GCF_000012505.1,131,120,95,DM_atp_c0,25,18,optimal,0.0,False,
GCF_000012525.1,138,134,119,DM_atp_c0,24,17,optimal,2.500000000000001,True,
GCF_000012225.1,80,65,21,DM_atp_c0,19,12,optimal,0.0,False,
GCF_000012245.1,166,187,198,DM_atp_c0,28,21,optimal,9.975000000000003,True,
GCF_000012265.1,166,185,252,DM_atp_c0,26,19,optimal,7.375,True,
GCF_000012285.1,136,124,113,DM_atp_c0,24,15,optimal,0.0,False,
GCF_000012705.1,127,125,107,DM_atp_c0,23,16,optimal,8.0,True,
GCF_000012725.1,151,159,142,DM_atp_c0,24,17,optimal,5.855769230769229,True,
GCF_000012745.1,143,147,169,DM_atp_c0,26,19,optimal,7.81249999999998,True,
GCF_000012765.1,98,88,55,DM_atp_c0,22,15,optimal,0.0,False,
GCF_000012625.1,129,121,97,DM_atp_c0,25,18,optimal,0.0,False,
GCF_000012645.1,118,105,77,DM_atp_c0,22,15,optimal,0.0,False,
GCF_000012665.1,139,141,167,DM_atp_c0,26,19,optimal,10.217592592592588,True,
GCF_000012685.1,162,166,191,DM_atp_c0,26,19,optimal,10.374999999999991,True,
GCF_000012385.1,102,86,64,DM_atp_c0,20,13,optimal,3.8000000000000007,True,
GCF_000012405.1,151,154,157,DM_atp_c0,24,17,optimal,7.916666666666672,True,
GCF_000012425.1,167,176,237,DM_atp_c0,27,20,optimal,12.437500000000009,True,
GCF_000012445.1,169,191,232,DM_atp_c0,29,22,optimal,9.975,True,
GCF_000012305.1,155,159,148,DM_atp_c0,25,18,optimal,7.125,True,
GCF_000012325.1,168,179,205,DM_atp_c0,29,20,optimal,8.875,True,
GCF_000012345.1,138,126,110,DM_atp_c0,22,15,optimal,0.12500000000000086,True,
GCF_000012365.1,171,196,249,DM_atp_c0,28,21,optimal,12.874999999999996,True,
GCF_000013105.1,141,145,159,DM_atp_c0,27,18,optimal,11.208333333333325,True,
GCF_000013125.1,120,101,79,DM_atp_c0,20,13,optimal,0.0,False,
GCF_000013145.1,116,98,72,DM_atp_c0,19,12,optimal,0.0,False,
GCF_000013165.1,103,93,70,DM_atp_c0,19,12,optimal,0.0,False,
GCF_000013185.1,108,95,69,DM_atp_c0,20,13,optimal,5.75,True,
GCF_000013205.1,135,127,104,DM_atp_c0,24,17,optimal,4.3750000000000036,True,
GCF_000013225.1,136,130,106,DM_atp_c0,24,17,optimal,8.374999999999986,True,
GCF_000013245.1,127,119,97,DM_atp_c0,27,20,optimal,2.4999999999999964,True,
GCF_000012785.1,170,195,248,DM_atp_c0,28,21,optimal,12.874999999999996,True,
GCF_000012805.1,155,146,175,DM_atp_c0,23,16,optimal,1.0000000000000013,True,
GCF_000012825.1,140,136,135,DM_atp_c0,25,18,optimal,5.625,True,
GCF_000012845.1,144,143,137,DM_atp_c0,26,19,optimal,6.750000000000006,True,
GCF_000012865.1,151,150,164,DM_atp_c0,27,20,optimal,6.425000000000004,True,
GCF_000012885.1,150,148,183,DM_atp_c0,25,18,optimal,10.346153846153843,True,
GCF_000012905.2,165,180,215,DM_atp_c0,28,19,optimal,7.375000000000002,True,
GCF_000012925.1,151,157,199,DM_atp_c0,24,17,optimal,7.39423076923077,True,
GCF_000012945.1,169,196,279,DM_atp_c0,28,21,optimal,12.232142857142863,True,
GCF_000012965.1,124,130,129,DM_atp_c0,25,18,optimal,3.3750000000000036,True,
GCF_000012985.1,163,183,198,DM_atp_c0,26,19,optimal,8.39285714285714,True,
GCF_000013005.1,141,147,144,DM_atp_c0,22,15,optimal,0.16666666666666669,True,
GCF_000013025.1,153,165,177,DM_atp_c0,26,19,optimal,7.625000000000005,True,
GCF_000013045.1,146,154,150,DM_atp_c0,24,17,optimal,7.2500000000000036,True,
GCF_000013065.1,166,196,223,DM_atp_c0,29,22,optimal,16.124999999999996,True,
GCF_000013085.1,168,179,207,DM_atp_c0,27,18,optimal,8.749999999999996,True,
GCF_000013505.1,116,108,90,DM_atp_c0,23,16,optimal,1.0000000000000004,True,
GCF_000013525.1,114,108,78,DM_atp_c0,23,16,optimal,4.000000000000005,True,
